;Scopy version,f4beeb1
;Exported on,lundi mars 11/03/2024
;Device,M2K
;Nr of samples,160000
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.103096
1,-0.8191,0.103096
2,-0.819,0.103096
3,-0.8189,0.103096
4,-0.8188,0.103096
5,-0.8187,0.103096
6,-0.8186,0.103096
7,-0.8185,0.103096
8,-0.8184,0.103096
9,-0.8183,0.103096
10,-0.8182,0.104752
11,-0.8181,0.104752
12,-0.818,0.103096
13,-0.8179,0.103096
14,-0.8178,0.103096
15,-0.8177,0.103096
16,-0.8176,0.103096
17,-0.8175,0.106408
18,-0.8174,0.104752
19,-0.8173,0.104752
20,-0.8172,0.104752
21,-0.8171,0.103096
22,-0.817,0.104752
23,-0.8169,0.104752
24,-0.8168,0.104752
25,-0.8167,0.104752
26,-0.8166,0.103096
27,-0.8165,0.103096
28,-0.8164,0.103096
29,-0.8163,0.103096
30,-0.8162,0.103096
31,-0.8161,0.103096
32,-0.816,0.103096
33,-0.8159,0.103096
34,-0.8158,0.103096
35,-0.8157,0.103096
36,-0.8156,0.103096
37,-0.8155,0.103096
38,-0.8154,0.103096
39,-0.8153,0.103096
40,-0.8152,0.103096
41,-0.8151,0.103096
42,-0.815,0.104752
43,-0.8149,0.103096
44,-0.8148,0.103096
45,-0.8147,0.104752
46,-0.8146,0.103096
47,-0.8145,0.103096
48,-0.8144,0.103096
49,-0.8143,0.103096
50,-0.8142,0.103096
51,-0.8141,0.106408
52,-0.814,0.104752
53,-0.8139,0.104752
54,-0.8138,0.104752
55,-0.8137,0.106408
56,-0.8136,0.104752
57,-0.8135,0.104752
58,-0.8134,0.104752
59,-0.8133,0.104752
60,-0.8132,0.106408
61,-0.8131,0.103096
62,-0.813,0.103096
63,-0.8129,0.103096
64,-0.8128,0.106408
65,-0.8127,0.103096
66,-0.8126,0.103096
67,-0.8125,0.103096
68,-0.8124,0.103096
69,-0.8123,0.103096
70,-0.8122,0.103096
71,-0.8121,0.103096
72,-0.812,0.103096
73,-0.8119,0.103096
74,-0.8118,0.103096
75,-0.8117,0.103096
76,-0.8116,0.103096
77,-0.8115,0.103096
78,-0.8114,0.104752
79,-0.8113,0.103096
80,-0.8112,0.103096
81,-0.8111,0.103096
82,-0.811,0.103096
83,-0.8109,0.103096
84,-0.8108,0.103096
85,-0.8107,0.104752
86,-0.8106,0.104752
87,-0.8105,0.104752
88,-0.8104,0.104752
89,-0.8103,0.104752
90,-0.8102,0.104752
91,-0.8101,0.104752
92,-0.81,0.104752
93,-0.8099,0.104752
94,-0.8098,0.103096
95,-0.8097,0.103096
96,-0.8096,0.103096
97,-0.8095,0.104752
98,-0.8094,0.103096
99,-0.8093,0.104752
100,-0.8092,0.104752
101,-0.8091,0.103096
102,-0.809,0.103096
103,-0.8089,0.106408
104,-0.8088,0.103096
105,-0.8087,0.104752
106,-0.8086,0.106408
107,-0.8085,0.103096
108,-0.8084,0.103096
109,-0.8083,0.103096
110,-0.8082,0.106408
111,-0.8081,0.104752
112,-0.808,0.104752
113,-0.8079,0.104752
114,-0.8078,0.104752
115,-0.8077,0.106408
116,-0.8076,0.103096
117,-0.8075,0.103096
118,-0.8074,0.103096
119,-0.8073,0.104752
120,-0.8072,0.104752
121,-0.8071,0.104752
122,-0.807,0.104752
123,-0.8069,0.104752
124,-0.8068,0.104752
125,-0.8067,0.104752
126,-0.8066,0.104752
127,-0.8065,0.104752
128,-0.8064,0.104752
129,-0.8063,0.104752
130,-0.8062,0.103096
131,-0.8061,0.103096
132,-0.806,0.103096
133,-0.8059,0.103096
134,-0.8058,0.103096
135,-0.8057,0.103096
136,-0.8056,0.103096
137,-0.8055,0.106408
138,-0.8054,0.106408
139,-0.8053,0.103096
140,-0.8052,0.103096
141,-0.8051,0.104752
142,-0.805,0.106408
143,-0.8049,0.103096
144,-0.8048,0.103096
145,-0.8047,0.103096
146,-0.8046,0.103096
147,-0.8045,0.103096
148,-0.8044,0.103096
149,-0.8043,0.103096
150,-0.8042,0.103096
151,-0.8041,0.103096
152,-0.804,0.103096
153,-0.8039,0.104752
154,-0.8038,0.104752
155,-0.8037,0.104752
156,-0.8036,0.104752
157,-0.8035,0.104752
158,-0.8034,0.104752
159,-0.8033,0.104752
160,-0.8032,0.106408
161,-0.8031,0.103096
162,-0.803,0.106408
163,-0.8029,0.104752
164,-0.8028,0.104752
165,-0.8027,0.104752
166,-0.8026,0.104752
