;Scopy version,f4beeb1
;Exported on,samedi mars 02/03/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-4.192,0.101877
1,-4.191,0.100138
2,-4.19,0.100138
3,-4.189,0.100138
4,-4.188,0.100138
5,-4.187,0.100138
6,-4.186,0.103616
7,-4.185,0.101877
8,-4.184,0.101877
9,-4.183,0.101877
10,-4.182,0.103616
11,-4.181,0.100138
12,-4.18,0.100138
13,-4.179,0.101877
14,-4.178,0.101877
15,-4.177,0.101877
16,-4.176,0.101877
17,-4.175,0.101877
18,-4.174,0.101877
19,-4.173,0.101877
20,-4.172,0.101877
21,-4.171,0.101877
22,-4.17,0.100138
23,-4.169,0.100138
24,-4.168,0.100138
25,-4.167,0.100138
26,-4.166,0.100138
27,-4.165,0.100138
28,-4.164,0.100138
29,-4.163,0.100138
30,-4.162,0.101877
31,-4.161,0.101877
32,-4.16,0.101877
33,-4.159,0.100138
34,-4.158,0.100138
35,-4.157,0.103616
36,-4.156,0.101877
37,-4.155,0.101877
38,-4.154,0.101877
39,-4.153,0.101877
40,-4.152,0.101877
41,-4.151,0.101877
42,-4.15,0.103616
43,-4.149,0.100138
44,-4.148,0.100138
45,-4.147,0.100138
46,-4.146,0.100138
47,-4.145,0.100138
48,-4.144,0.101877
49,-4.143,0.101877
50,-4.142,0.101877
51,-4.141,0.101877
52,-4.14,0.101877
53,-4.139,0.103616
54,-4.138,0.100138
55,-4.137,0.100138
56,-4.136,0.103616
57,-4.135,0.101877
58,-4.134,0.101877
59,-4.133,0.101877
60,-4.132,0.101877
61,-4.131,0.101877
62,-4.13,0.100138
63,-4.129,0.103616
64,-4.128,0.101877
65,-4.127,0.100138
66,-4.126,0.100138
67,-4.125,0.100138
68,-4.124,0.100138
69,-4.123,0.100138
70,-4.122,0.100138
71,-4.121,0.101877
72,-4.12,0.101877
73,-4.119,0.101877
74,-4.118,0.101877
75,-4.117,0.101877
76,-4.116,0.100138
77,-4.115,0.100138
78,-4.114,0.103616
79,-4.113,0.101877
80,-4.112,0.101877
81,-4.111,0.103616
82,-4.11,0.100138
83,-4.109,0.100138
84,-4.108,0.103616
85,-4.107,0.101877
86,-4.106,0.100138
87,-4.105,0.100138
88,-4.104,0.100138
89,-4.103,0.100138
90,-4.102,0.100138
91,-4.101,0.101877
92,-4.1,0.101877
93,-4.099,0.101877
94,-4.098,0.101877
95,-4.097,0.101877
96,-4.096,0.101877
97,-4.095,0.100138
98,-4.094,0.100138
99,-4.093,0.101877
100,-4.092,0.103616
101,-4.091,0.100138
102,-4.09,0.100138
103,-4.089,0.100138
104,-4.088,0.100138
105,-4.087,0.100138
106,-4.086,0.103616
107,-4.085,0.100138
108,-4.084,0.100138
109,-4.083,0.100138
110,-4.082,0.100138
111,-4.081,0.100138
112,-4.08,0.101877
113,-4.079,0.101877
114,-4.078,0.101877
115,-4.077,0.101877
116,-4.076,0.101877
117,-4.075,0.103616
118,-4.074,0.100138
119,-4.073,0.100138
120,-4.072,0.100138
121,-4.071,0.100138
122,-4.07,0.100138
123,-4.069,0.100138
124,-4.068,0.100138
125,-4.067,0.100138
126,-4.066,0.100138
127,-4.065,0.103616
128,-4.064,0.101877
129,-4.063,0.100138
130,-4.062,0.100138
131,-4.061,0.100138
132,-4.06,0.100138
133,-4.059,0.103616
134,-4.058,0.101877
135,-4.057,0.101877
136,-4.056,0.101877
137,-4.055,0.101877
138,-4.054,0.101877
139,-4.053,0.101877
140,-4.052,0.100138
141,-4.051,0.100138
142,-4.05,0.100138
143,-4.049,0.100138
144,-4.048,0.100138
145,-4.047,0.100138
146,-4.046,0.100138
147,-4.045,0.100138
148,-4.044,0.101877
149,-4.043,0.103616
150,-4.042,0.100138
151,-4.041,0.100138
152,-4.04,0.100138
153,-4.039,0.103616
154,-4.038,0.101877
155,-4.037,0.101877
156,-4.036,0.101877
157,-4.035,0.101877
158,-4.034,0.101877
159,-4.033,0.101877
160,-4.032,0.103616
161,-4.031,0.100138
162,-4.03,0.100138
163,-4.029,0.100138
164,-4.028,0.100138
165,-4.027,0.100138
166,-4.026,0.103616
167,-4.025,0.103616
168,-4.024,0.100138
169,-4.023,0.100138
170,-4.022,0.103616
171,-4.021,0.101877
172,-4.02,0.100138
173,-4.019,0.100138
174,-4.018,0.101877
175,-4.017,0.101877
176,-4.016,0.101877
177,-4.015,0.101877
178,-4.014,0.101877
