;Scopy version,f4beeb1
;Exported on,dimanche mars 03/03/2024
;Device,M2K
;Nr of samples,160000
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.142888
1,-0.8191,0.142888
2,-0.819,0.142888
3,-0.8189,0.142888
4,-0.8188,0.1462
5,-0.8187,0.149512
6,-0.8186,0.152824
7,-0.8185,0.152824
8,-0.8184,0.159448
9,-0.8183,0.159448
10,-0.8182,0.16276
11,-0.8181,0.164416
12,-0.818,0.167728
13,-0.8179,0.169385
14,-0.8178,0.171041
15,-0.8177,0.172697
16,-0.8176,0.174353
17,-0.8175,0.176009
18,-0.8174,0.176009
19,-0.8173,0.177665
20,-0.8172,0.180977
21,-0.8171,0.182633
22,-0.817,0.184289
23,-0.8169,0.184289
24,-0.8168,0.185945
25,-0.8167,0.189257
26,-0.8166,0.189257
27,-0.8165,0.189257
28,-0.8164,0.190913
29,-0.8163,0.194225
30,-0.8162,0.194225
31,-0.8161,0.195881
32,-0.816,0.197537
33,-0.8159,0.199193
34,-0.8158,0.202506
35,-0.8157,0.204162
36,-0.8156,0.204162
37,-0.8155,0.205818
38,-0.8154,0.20913
39,-0.8153,0.207474
40,-0.8152,0.210786
41,-0.8151,0.20913
42,-0.815,0.212442
43,-0.8149,0.210786
44,-0.8148,0.212442
45,-0.8147,0.212442
46,-0.8146,0.212442
47,-0.8145,0.212442
48,-0.8144,0.215754
49,-0.8143,0.214098
50,-0.8142,0.214098
51,-0.8141,0.214098
52,-0.814,0.215754
53,-0.8139,0.21741
54,-0.8138,0.219066
55,-0.8137,0.219066
56,-0.8136,0.220722
57,-0.8135,0.22569
58,-0.8134,0.22569
59,-0.8133,0.227346
60,-0.8132,0.227346
61,-0.8131,0.227346
62,-0.813,0.227346
63,-0.8129,0.227346
64,-0.8128,0.227346
65,-0.8127,0.227346
66,-0.8126,0.227346
67,-0.8125,0.22569
68,-0.8124,0.22569
69,-0.8123,0.22569
70,-0.8122,0.22569
71,-0.8121,0.22569
72,-0.812,0.22569
73,-0.8119,0.22569
74,-0.8118,0.227346
75,-0.8117,0.224034
76,-0.8116,0.224034
77,-0.8115,0.224034
78,-0.8114,0.224034
79,-0.8113,0.224034
80,-0.8112,0.224034
81,-0.8111,0.224034
82,-0.811,0.224034
83,-0.8109,0.224034
84,-0.8108,0.220722
85,-0.8107,0.220722
86,-0.8106,0.220722
87,-0.8105,0.219066
88,-0.8104,0.219066
89,-0.8103,0.219066
90,-0.8102,0.219066
91,-0.8101,0.21741
92,-0.81,0.21741
93,-0.8099,0.21741
94,-0.8098,0.21741
95,-0.8097,0.219066
96,-0.8096,0.215754
97,-0.8095,0.215754
98,-0.8094,0.215754
99,-0.8093,0.215754
100,-0.8092,0.215754
101,-0.8091,0.215754
102,-0.809,0.215754
103,-0.8089,0.215754
104,-0.8088,0.215754
105,-0.8087,0.215754
106,-0.8086,0.215754
107,-0.8085,0.215754
108,-0.8084,0.215754
109,-0.8083,0.215754
110,-0.8082,0.215754
111,-0.8081,0.215754
112,-0.808,0.215754
113,-0.8079,0.215754
114,-0.8078,0.215754
115,-0.8077,0.215754
116,-0.8076,0.215754
117,-0.8075,0.215754
118,-0.8074,0.215754
119,-0.8073,0.215754
120,-0.8072,0.215754
121,-0.8071,0.214098
122,-0.807,0.214098
123,-0.8069,0.214098
124,-0.8068,0.214098
125,-0.8067,0.214098
126,-0.8066,0.214098
127,-0.8065,0.214098
128,-0.8064,0.212442
129,-0.8063,0.212442
130,-0.8062,0.212442
131,-0.8061,0.214098
132,-0.806,0.210786
133,-0.8059,0.210786
134,-0.8058,0.210786
135,-0.8057,0.210786
136,-0.8056,0.210786
137,-0.8055,0.210786
138,-0.8054,0.210786
139,-0.8053,0.20913
140,-0.8052,0.20913
141,-0.8051,0.20913
142,-0.805,0.20913
143,-0.8049,0.20913
144,-0.8048,0.205818
145,-0.8047,0.202506
146,-0.8046,0.199193
147,-0.8045,0.194225
148,-0.8044,0.194225
149,-0.8043,0.190913
150,-0.8042,0.187601
151,-0.8041,0.187601
152,-0.804,0.185945
153,-0.8039,0.184289
154,-0.8038,0.182633
155,-0.8037,0.180977
156,-0.8036,0.177665
157,-0.8035,0.176009
158,-0.8034,0.174353
159,-0.8033,0.174353
