;Scopy version,f4beeb1
;Exported on,dimanche mars 03/03/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.77,0.137973
1,-0.769,0.137973
2,-0.768,0.137973
3,-0.767,0.137973
4,-0.766,0.137973
5,-0.765,0.137973
6,-0.764,0.137973
7,-0.763,0.137973
8,-0.762,0.137973
9,-0.761,0.137973
10,-0.76,0.137973
11,-0.759,0.137973
12,-0.758,0.137973
13,-0.757,0.137973
14,-0.756,0.137973
15,-0.755,0.137973
16,-0.754,0.137973
17,-0.753,0.137973
18,-0.752,0.137973
19,-0.751,0.137973
20,-0.75,0.137973
21,-0.749,0.150145
22,-0.748,0.171011
23,-0.747,0.184922
24,-0.746,0.202311
25,-0.745,0.209266
26,-0.744,0.219699
27,-0.743,0.224916
28,-0.742,0.221438
29,-0.741,0.219699
30,-0.74,0.212744
31,-0.739,0.216221
32,-0.738,0.211005
33,-0.737,0.211005
34,-0.736,0.211005
35,-0.735,0.207527
36,-0.734,0.207527
37,-0.733,0.207527
38,-0.732,0.207527
39,-0.731,0.21796
40,-0.73,0.224916
41,-0.729,0.228393
42,-0.728,0.231871
43,-0.727,0.231871
44,-0.726,0.235349
45,-0.725,0.23361
46,-0.724,0.238827
47,-0.723,0.235349
48,-0.722,0.235349
49,-0.721,0.235349
50,-0.72,0.235349
51,-0.719,0.235349
52,-0.718,0.235349
53,-0.717,0.235349
54,-0.716,0.235349
55,-0.715,0.235349
56,-0.714,0.235349
57,-0.713,0.235349
58,-0.712,0.238827
59,-0.711,0.23361
60,-0.71,0.238827
61,-0.709,0.238827
62,-0.708,0.235349
63,-0.707,0.235349
64,-0.706,0.235349
65,-0.705,0.235349
66,-0.704,0.235349
67,-0.703,0.235349
68,-0.702,0.238827
69,-0.701,0.231871
70,-0.7,0.235349
71,-0.699,0.238827
72,-0.698,0.238827
73,-0.697,0.235349
74,-0.696,0.235349
75,-0.695,0.235349
76,-0.694,0.235349
77,-0.693,0.235349
78,-0.692,0.235349
79,-0.691,0.235349
80,-0.69,0.235349
81,-0.689,0.235349
82,-0.688,0.235349
83,-0.687,0.235349
84,-0.686,0.235349
85,-0.685,0.235349
86,-0.684,0.235349
87,-0.683,0.235349
88,-0.682,0.235349
89,-0.681,0.235349
90,-0.68,0.235349
91,-0.679,0.235349
92,-0.678,0.235349
93,-0.677,0.235349
94,-0.676,0.235349
95,-0.675,0.235349
96,-0.674,0.235349
97,-0.673,0.235349
98,-0.672,0.235349
99,-0.671,0.238827
100,-0.67,0.23361
101,-0.669,0.238827
102,-0.668,0.238827
103,-0.667,0.238827
104,-0.666,0.240565
105,-0.665,0.235349
106,-0.664,0.235349
107,-0.663,0.235349
108,-0.662,0.235349
109,-0.661,0.235349
110,-0.66,0.238827
111,-0.659,0.23361
112,-0.658,0.238827
113,-0.657,0.238827
114,-0.656,0.235349
115,-0.655,0.235349
116,-0.654,0.235349
117,-0.653,0.235349
118,-0.652,0.235349
119,-0.651,0.235349
120,-0.65,0.235349
121,-0.649,0.235349
