;Scopy version,f4beeb1
;Exported on,vendredi mars 01/03/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-4.192,0.27371
1,-4.191,0.27371
2,-4.19,0.27371
3,-4.189,0.27371
4,-4.188,0.27371
5,-4.187,0.27371
6,-4.186,0.27371
7,-4.185,0.27371
8,-4.184,0.27371
9,-4.183,0.27371
10,-4.182,0.27371
11,-4.181,0.27371
12,-4.18,0.27371
13,-4.179,0.27371
14,-4.178,0.27371
15,-4.177,0.27371
16,-4.176,0.27371
17,-4.175,0.27371
18,-4.174,0.27371
19,-4.173,0.27371
20,-4.172,0.271971
21,-4.171,0.357175
22,-4.17,0.419773
23,-4.169,0.414557
24,-4.168,0.345003
25,-4.167,0.313703
26,-4.166,0.294576
27,-4.165,0.287621
28,-4.164,0.280665
29,-4.163,0.277187
30,-4.162,0.275449
31,-4.161,0.275449
32,-4.16,0.27371
33,-4.159,0.27371
34,-4.158,0.27371
35,-4.157,0.27371
36,-4.156,0.27371
37,-4.155,0.27371
38,-4.154,0.27371
39,-4.153,0.27371
40,-4.152,0.27371
41,-4.151,0.27371
42,-4.15,0.27371
43,-4.149,0.27371
44,-4.148,0.27371
45,-4.147,0.27371
46,-4.146,0.27371
47,-4.145,0.27371
48,-4.144,0.27371
49,-4.143,0.27371
50,-4.142,0.27371
51,-4.141,0.27371
52,-4.14,0.27371
53,-4.139,0.27371
54,-4.138,0.27371
55,-4.137,0.27371
56,-4.136,0.27371
57,-4.135,0.27371
58,-4.134,0.27371
59,-4.133,0.27371
60,-4.132,0.27371
61,-4.131,0.27371
62,-4.13,0.27371
63,-4.129,0.27371
64,-4.128,0.27371
65,-4.127,0.27371
66,-4.126,0.27371
67,-4.125,0.27371
68,-4.124,0.27371
69,-4.123,0.27371
70,-4.122,0.27371
71,-4.121,0.27371
72,-4.12,0.36413
73,-4.119,0.42499
74,-4.118,0.412818
75,-4.117,0.345003
76,-4.116,0.313703
77,-4.115,0.294576
78,-4.114,0.285882
79,-4.113,0.280665
80,-4.112,0.277187
81,-4.111,0.27371
82,-4.11,0.275449
83,-4.109,0.271971
84,-4.108,0.27371
85,-4.107,0.27371
86,-4.106,0.27371
87,-4.105,0.27371
88,-4.104,0.27371
89,-4.103,0.27371
90,-4.102,0.27371
91,-4.101,0.27371
92,-4.1,0.27371
93,-4.099,0.27371
94,-4.098,0.27371
95,-4.097,0.27371
96,-4.096,0.27371
97,-4.095,0.27371
98,-4.094,0.27371
99,-4.093,0.27371
100,-4.092,0.27371
101,-4.091,0.27371
102,-4.09,0.27371
103,-4.089,0.27371
104,-4.088,0.27371
105,-4.087,0.27371
106,-4.086,0.27371
107,-4.085,0.27371
108,-4.084,0.27371
109,-4.083,0.27371
110,-4.082,0.27371
111,-4.081,0.27371
112,-4.08,0.27371
113,-4.079,0.27371
114,-4.078,0.27371
115,-4.077,0.27371
116,-4.076,0.27371
117,-4.075,0.27371
118,-4.074,0.27371
119,-4.073,0.27371
120,-4.072,0.27371
121,-4.071,0.27371
122,-4.07,0.277187
123,-4.069,0.374563
124,-4.068,0.426729
125,-4.067,0.40934
126,-4.066,0.343264
127,-4.065,0.311964
128,-4.064,0.294576
129,-4.063,0.285882
130,-4.062,0.280665
131,-4.061,0.277187
132,-4.06,0.27371
133,-4.059,0.275449
134,-4.058,0.271971
135,-4.057,0.27371
136,-4.056,0.27371
137,-4.055,0.27371
138,-4.054,0.27371
139,-4.053,0.27371
140,-4.052,0.27371
141,-4.051,0.27371
142,-4.05,0.27371
143,-4.049,0.27371
144,-4.048,0.27371
145,-4.047,0.27371
146,-4.046,0.27371
147,-4.045,0.27371
148,-4.044,0.27371
149,-4.043,0.27371
150,-4.042,0.27371
151,-4.041,0.27371
152,-4.04,0.27371
153,-4.039,0.27371
154,-4.038,0.27371
155,-4.037,0.27371
156,-4.036,0.27371
157,-4.035,0.27371
158,-4.034,0.27371
159,-4.033,0.27371
160,-4.032,0.27371
161,-4.031,0.27371
162,-4.03,0.27371
163,-4.029,0.27371
164,-4.028,0.27371
165,-4.027,0.27371
166,-4.026,0.27371
167,-4.025,0.27371
168,-4.024,0.27371
169,-4.023,0.27371
170,-4.022,0.27371
171,-4.021,0.27371
172,-4.02,0.27371
173,-4.019,0.282404
174,-4.018,0.381518
175,-4.017,0.428467
176,-4.016,0.402385
177,-4.015,0.339786
178,-4.014,0.310226
179,-4.013,0.292837
180,-4.012,0.285882
181,-4.011,0.280665
182,-4.01,0.277187
183,-4.009,0.27371
184,-4.008,0.275449
185,-4.007,0.271971
186,-4.006,0.27371
187,-4.005,0.27371
188,-4.004,0.27371
189,-4.003,0.27371
190,-4.002,0.27371
191,-4.001,0.27371
192,-4,0.27371
193,-3.999,0.27371
194,-3.998,0.27371
195,-3.997,0.27371
196,-3.996,0.27371
197,-3.995,0.27371
198,-3.994,0.27371
199,-3.993,0.27371
200,-3.992,0.27371
201,-3.991,0.27371
202,-3.99,0.27371
203,-3.989,0.27371
204,-3.988,0.27371
205,-3.987,0.27371
206,-3.986,0.27371
207,-3.985,0.27371
208,-3.984,0.27371
209,-3.983,0.27371
210,-3.982,0.27371
211,-3.981,0.27371
212,-3.98,0.27371
213,-3.979,0.27371
214,-3.978,0.27371
215,-3.977,0.27371
216,-3.976,0.27371
217,-3.975,0.27371
218,-3.974,0.27371
219,-3.973,0.27371
220,-3.972,0.27371
221,-3.971,0.27371
222,-3.97,0.27371
223,-3.969,0.27371
224,-3.968,0.289359
225,-3.967,0.388474
226,-3.966,0.431945
227,-3.965,0.397168
228,-3.964,0.336308
229,-3.963,0.308487
230,-3.962,0.292837
231,-3.961,0.285882
232,-3.96,0.280665
233,-3.959,0.277187
234,-3.958,0.27371
235,-3.957,0.275449
236,-3.956,0.271971
237,-3.955,0.27371
238,-3.954,0.27371
239,-3.953,0.27371
240,-3.952,0.27371
241,-3.951,0.27371
242,-3.95,0.27371
243,-3.949,0.27371
244,-3.948,0.27371
245,-3.947,0.27371
246,-3.946,0.27371
247,-3.945,0.27371
248,-3.944,0.27371
249,-3.943,0.27371
250,-3.942,0.27371
251,-3.941,0.27371
252,-3.94,0.27371
253,-3.939,0.27371
254,-3.938,0.27371
255,-3.937,0.27371
256,-3.936,0.27371
257,-3.935,0.27371
258,-3.934,0.27371
259,-3.933,0.27371
260,-3.932,0.27371
261,-3.931,0.27371
262,-3.93,0.27371
263,-3.929,0.27371
264,-3.928,0.27371
265,-3.927,0.27371
266,-3.926,0.27371
267,-3.925,0.27371
268,-3.924,0.27371
269,-3.923,0.27371
270,-3.922,0.27371
271,-3.921,0.27371
272,-3.92,0.27371
273,-3.919,0.27371
274,-3.918,0.271971
275,-3.917,0.296315
276,-3.916,0.391952
277,-3.915,0.431945
278,-3.914,0.381518
279,-3.913,0.331092
280,-3.912,0.305009
281,-3.911,0.291098
282,-3.91,0.284143
283,-3.909,0.280665
284,-3.908,0.275449
285,-3.907,0.275449
286,-3.906,0.275449
287,-3.905,0.271971
288,-3.904,0.27371
289,-3.903,0.27371
290,-3.902,0.27371
291,-3.901,0.27371
292,-3.9,0.27371
293,-3.899,0.27371
294,-3.898,0.27371
295,-3.897,0.27371
296,-3.896,0.27371
297,-3.895,0.27371
298,-3.894,0.27371
299,-3.893,0.27371
300,-3.892,0.27371
301,-3.891,0.27371
302,-3.89,0.27371
303,-3.889,0.27371
304,-3.888,0.27371
305,-3.887,0.27371
306,-3.886,0.27371
307,-3.885,0.27371
308,-3.884,0.27371
309,-3.883,0.27371
310,-3.882,0.27371
311,-3.881,0.27371
312,-3.88,0.27371
313,-3.879,0.27371
314,-3.878,0.27371
315,-3.877,0.27371
316,-3.876,0.27371
317,-3.875,0.27371
318,-3.874,0.27371
319,-3.873,0.27371
320,-3.872,0.27371
321,-3.871,0.27371
322,-3.87,0.27371
323,-3.869,0.27371
324,-3.868,0.27371
325,-3.867,0.271971
326,-3.866,0.306748
327,-3.865,0.400646
328,-3.864,0.431945
329,-3.863,0.378041
330,-3.862,0.329353
331,-3.861,0.305009
332,-3.86,0.289359
333,-3.859,0.284143
334,-3.858,0.280665
335,-3.857,0.275449
336,-3.856,0.275449
337,-3.855,0.27371
338,-3.854,0.27371
339,-3.853,0.27371
340,-3.852,0.27371
341,-3.851,0.27371
342,-3.85,0.27371
343,-3.849,0.27371
344,-3.848,0.27371
345,-3.847,0.27371
346,-3.846,0.27371
347,-3.845,0.27371
348,-3.844,0.27371
349,-3.843,0.27371
350,-3.842,0.27371
351,-3.841,0.27371
352,-3.84,0.27371
353,-3.839,0.27371
354,-3.838,0.27371
355,-3.837,0.27371
356,-3.836,0.27371
357,-3.835,0.27371
358,-3.834,0.27371
359,-3.833,0.27371
360,-3.832,0.27371
361,-3.831,0.27371
362,-3.83,0.27371
363,-3.829,0.27371
364,-3.828,0.27371
365,-3.827,0.27371
366,-3.826,0.27371
367,-3.825,0.27371
368,-3.824,0.27371
369,-3.823,0.27371
370,-3.822,0.27371
371,-3.821,0.27371
372,-3.82,0.27371
373,-3.819,0.27371
374,-3.818,0.27371
375,-3.817,0.27371
376,-3.816,0.270232
377,-3.815,0.315442
378,-3.814,0.404124
379,-3.813,0.430206
380,-3.812,0.362391
381,-3.811,0.320659
382,-3.81,0.299792
383,-3.809,0.289359
384,-3.808,0.282404
385,-3.807,0.277187
386,-3.806,0.275449
387,-3.805,0.275449
388,-3.804,0.27371
389,-3.803,0.27371
390,-3.802,0.27371
391,-3.801,0.27371
392,-3.8,0.27371
393,-3.799,0.27371
394,-3.798,0.27371
395,-3.797,0.27371
396,-3.796,0.27371
397,-3.795,0.27371
398,-3.794,0.27371
399,-3.793,0.27371
400,-3.792,0.27371
401,-3.791,0.27371
402,-3.79,0.27371
403,-3.789,0.27371
404,-3.788,0.27371
405,-3.787,0.27371
406,-3.786,0.27371
407,-3.785,0.27371
408,-3.784,0.27371
409,-3.783,0.27371
410,-3.782,0.27371
411,-3.781,0.27371
412,-3.78,0.27371
413,-3.779,0.27371
414,-3.778,0.27371
415,-3.777,0.27371
416,-3.776,0.27371
417,-3.775,0.27371
418,-3.774,0.27371
419,-3.773,0.27371
420,-3.772,0.27371
421,-3.771,0.27371
422,-3.77,0.27371
423,-3.769,0.27371
424,-3.768,0.27371
425,-3.767,0.27371
426,-3.766,0.27371
427,-3.765,0.271971
428,-3.764,0.325875
429,-3.763,0.40934
430,-3.762,0.428467
431,-3.761,0.360652
432,-3.76,0.320659
433,-3.759,0.298054
434,-3.758,0.289359
435,-3.757,0.282404
436,-3.756,0.277187
437,-3.755,0.275449
438,-3.754,0.275449
439,-3.753,0.271971
440,-3.752,0.27371
441,-3.751,0.27371
442,-3.75,0.27371
443,-3.749,0.27371
444,-3.748,0.27371
445,-3.747,0.27371
446,-3.746,0.27371
447,-3.745,0.27371
448,-3.744,0.27371
449,-3.743,0.27371
450,-3.742,0.27371
451,-3.741,0.27371
452,-3.74,0.27371
453,-3.739,0.27371
454,-3.738,0.27371
455,-3.737,0.27371
456,-3.736,0.27371
457,-3.735,0.27371
458,-3.734,0.27371
459,-3.733,0.27371
460,-3.732,0.27371
461,-3.731,0.27371
462,-3.73,0.27371
463,-3.729,0.27371
464,-3.728,0.27371
465,-3.727,0.27371
466,-3.726,0.27371
467,-3.725,0.27371
468,-3.724,0.27371
469,-3.723,0.27371
470,-3.722,0.27371
471,-3.721,0.27371
472,-3.72,0.27371
473,-3.719,0.27371
474,-3.718,0.27371
475,-3.717,0.27371
476,-3.716,0.27371
477,-3.715,0.27371
478,-3.714,0.270232
479,-3.713,0.336308
480,-3.712,0.412818
481,-3.711,0.428467
482,-3.71,0.358913
483,-3.709,0.31892
484,-3.708,0.299792
485,-3.707,0.289359
486,-3.706,0.282404
487,-3.705,0.277187
488,-3.704,0.275449
489,-3.703,0.275449
490,-3.702,0.27371
491,-3.701,0.27371
492,-3.7,0.27371
493,-3.699,0.27371
494,-3.698,0.27371
495,-3.697,0.27371
496,-3.696,0.27371
497,-3.695,0.27371
498,-3.694,0.27371
499,-3.693,0.27371
500,-3.692,0.27371
501,-3.691,0.27371
502,-3.69,0.27371
503,-3.689,0.27371
504,-3.688,0.27371
505,-3.687,0.27371
506,-3.686,0.27371
507,-3.685,0.27371
508,-3.684,0.27371
509,-3.683,0.27371
510,-3.682,0.27371
511,-3.681,0.27371
512,-3.68,0.27371
513,-3.679,0.27371
514,-3.678,0.27371
515,-3.677,0.27371
516,-3.676,0.27371
517,-3.675,0.27371
518,-3.674,0.27371
519,-3.673,0.27371
520,-3.672,0.27371
521,-3.671,0.27371
522,-3.67,0.27371
523,-3.669,0.27371
524,-3.668,0.27371
525,-3.667,0.27371
526,-3.666,0.27371
527,-3.665,0.27371
528,-3.664,0.27371
529,-3.663,0.270232
530,-3.662,0.345003
531,-3.661,0.414557
532,-3.66,0.435423
533,-3.659,0.444117
534,-3.658,0.447595
535,-3.657,0.451073
536,-3.656,0.45455
537,-3.655,0.452811
538,-3.654,0.456289
539,-3.653,0.458028
540,-3.652,0.463244
541,-3.651,0.459767
542,-3.65,0.459767
543,-3.649,0.464983
544,-3.648,0.463244
545,-3.647,0.463244
546,-3.646,0.463244
547,-3.645,0.463244
548,-3.644,0.463244
549,-3.643,0.463244
550,-3.642,0.459767
551,-3.641,0.463244
552,-3.64,0.456289
553,-3.639,0.463244
554,-3.638,0.459767
555,-3.637,0.464983
556,-3.636,0.463244
557,-3.635,0.463244
558,-3.634,0.463244
559,-3.633,0.463244
560,-3.632,0.463244
561,-3.631,0.463244
562,-3.63,0.463244
563,-3.629,0.463244
564,-3.628,0.463244
565,-3.627,0.459767
566,-3.626,0.459767
567,-3.625,0.459767
568,-3.624,0.459767
569,-3.623,0.463244
570,-3.622,0.463244
571,-3.621,0.463244
572,-3.62,0.463244
573,-3.619,0.463244
574,-3.618,0.463244
575,-3.617,0.463244
576,-3.616,0.463244
577,-3.615,0.463244
578,-3.614,0.463244
579,-3.613,0.459767
580,-3.612,0.464983
581,-3.611,0.459767
582,-3.61,0.458028
583,-3.609,0.459767
584,-3.608,0.464983
585,-3.607,0.463244
586,-3.606,0.463244
587,-3.605,0.463244
588,-3.604,0.463244
589,-3.603,0.463244
590,-3.602,0.463244
591,-3.601,0.463244
592,-3.6,0.463244
593,-3.599,0.463244
594,-3.598,0.463244
595,-3.597,0.463244
596,-3.596,0.463244
597,-3.595,0.458028
598,-3.594,0.459767
599,-3.593,0.463244
600,-3.592,0.463244
601,-3.591,0.463244
602,-3.59,0.463244
603,-3.589,0.463244
604,-3.588,0.463244
605,-3.587,0.463244
606,-3.586,0.463244
607,-3.585,0.463244
608,-3.584,0.463244
609,-3.583,0.463244
610,-3.582,0.463244
611,-3.581,0.463244
612,-3.58,0.459767
613,-3.579,0.459767
614,-3.578,0.464983
615,-3.577,0.463244
616,-3.576,0.463244
617,-3.575,0.463244
618,-3.574,0.463244
619,-3.573,0.463244
620,-3.572,0.463244
621,-3.571,0.463244
622,-3.57,0.463244
623,-3.569,0.463244
624,-3.568,0.463244
625,-3.567,0.463244
626,-3.566,0.463244
627,-3.565,0.459767
628,-3.564,0.459767
629,-3.563,0.464983
630,-3.562,0.463244
631,-3.561,0.463244
632,-3.56,0.463244
633,-3.559,0.463244
634,-3.558,0.463244
635,-3.557,0.463244
636,-3.556,0.463244
637,-3.555,0.463244
638,-3.554,0.463244
639,-3.553,0.463244
640,-3.552,0.463244
641,-3.551,0.463244
642,-3.55,0.459767
643,-3.549,0.459767
644,-3.548,0.464983
645,-3.547,0.463244
646,-3.546,0.463244
647,-3.545,0.463244
648,-3.544,0.463244
649,-3.543,0.463244
650,-3.542,0.463244
651,-3.541,0.463244
652,-3.54,0.463244
653,-3.539,0.463244
654,-3.538,0.463244
655,-3.537,0.463244
656,-3.536,0.463244
657,-3.535,0.459767
658,-3.534,0.459767
659,-3.533,0.463244
660,-3.532,0.463244
661,-3.531,0.463244
662,-3.53,0.463244
663,-3.529,0.463244
664,-3.528,0.463244
665,-3.527,0.463244
666,-3.526,0.463244
667,-3.525,0.463244
668,-3.524,0.463244
669,-3.523,0.463244
670,-3.522,0.463244
671,-3.521,0.464983
672,-3.52,0.459767
673,-3.519,0.459767
674,-3.518,0.464983
675,-3.517,0.463244
676,-3.516,0.463244
677,-3.515,0.463244
678,-3.514,0.463244
679,-3.513,0.463244
680,-3.512,0.463244
681,-3.511,0.463244
682,-3.51,0.463244
683,-3.509,0.463244
684,-3.508,0.463244
685,-3.507,0.463244
686,-3.506,0.464983
687,-3.505,0.459767
688,-3.504,0.459767
689,-3.503,0.464983
690,-3.502,0.463244
691,-3.501,0.463244
692,-3.5,0.463244
693,-3.499,0.463244
694,-3.498,0.463244
695,-3.497,0.463244
696,-3.496,0.463244
697,-3.495,0.463244
698,-3.494,0.463244
699,-3.493,0.463244
700,-3.492,0.463244
701,-3.491,0.464983
702,-3.49,0.459767
703,-3.489,0.459767
704,-3.488,0.463244
705,-3.487,0.463244
706,-3.486,0.463244
707,-3.485,0.463244
708,-3.484,0.463244
709,-3.483,0.463244
710,-3.482,0.463244
711,-3.481,0.463244
712,-3.48,0.463244
713,-3.479,0.463244
714,-3.478,0.463244
715,-3.477,0.463244
716,-3.476,0.463244
717,-3.475,0.458028
718,-3.474,0.463244
719,-3.473,0.459767
720,-3.472,0.464983
721,-3.471,0.463244
722,-3.47,0.463244
723,-3.469,0.463244
724,-3.468,0.463244
725,-3.467,0.463244
726,-3.466,0.463244
727,-3.465,0.463244
728,-3.464,0.463244
729,-3.463,0.463244
730,-3.462,0.463244
731,-3.461,0.463244
732,-3.46,0.463244
733,-3.459,0.459767
734,-3.458,0.459767
735,-3.457,0.464983
736,-3.456,0.463244
737,-3.455,0.463244
738,-3.454,0.463244
739,-3.453,0.463244
740,-3.452,0.463244
741,-3.451,0.463244
742,-3.45,0.463244
743,-3.449,0.463244
744,-3.448,0.463244
745,-3.447,0.463244
746,-3.446,0.463244
747,-3.445,0.463244
748,-3.444,0.459767
749,-3.443,0.459767
750,-3.442,0.464983
751,-3.441,0.463244
752,-3.44,0.463244
753,-3.439,0.463244
754,-3.438,0.463244
755,-3.437,0.463244
756,-3.436,0.463244
757,-3.435,0.463244
758,-3.434,0.463244
759,-3.433,0.463244
760,-3.432,0.463244
761,-3.431,0.463244
762,-3.43,0.463244
763,-3.429,0.459767
764,-3.428,0.459767
765,-3.427,0.464983
766,-3.426,0.463244
767,-3.425,0.463244
768,-3.424,0.463244
769,-3.423,0.463244
770,-3.422,0.463244
771,-3.421,0.463244
772,-3.42,0.463244
773,-3.419,0.463244
774,-3.418,0.463244
775,-3.417,0.463244
776,-3.416,0.463244
777,-3.415,0.463244
778,-3.414,0.459767
779,-3.413,0.459767
780,-3.412,0.464983
781,-3.411,0.463244
782,-3.41,0.463244
783,-3.409,0.463244
784,-3.408,0.463244
785,-3.407,0.463244
786,-3.406,0.463244
787,-3.405,0.463244
788,-3.404,0.463244
789,-3.403,0.463244
790,-3.402,0.463244
791,-3.401,0.463244
792,-3.4,0.463244
793,-3.399,0.458028
794,-3.398,0.463244
795,-3.397,0.463244
796,-3.396,0.463244
797,-3.395,0.463244
798,-3.394,0.463244
799,-3.393,0.463244
800,-3.392,0.463244
801,-3.391,0.463244
802,-3.39,0.463244
803,-3.389,0.463244
804,-3.388,0.463244
805,-3.387,0.463244
806,-3.386,0.463244
807,-3.385,0.463244
808,-3.384,0.459767
809,-3.383,0.459767
810,-3.382,0.463244
811,-3.381,0.463244
812,-3.38,0.463244
813,-3.379,0.463244
814,-3.378,0.463244
815,-3.377,0.463244
816,-3.376,0.463244
817,-3.375,0.463244
818,-3.374,0.463244
819,-3.373,0.463244
820,-3.372,0.463244
821,-3.371,0.463244
822,-3.37,0.463244
823,-3.369,0.458028
824,-3.368,0.463244
825,-3.367,0.463244
826,-3.366,0.463244
827,-3.365,0.463244
828,-3.364,0.463244
829,-3.363,0.463244
830,-3.362,0.463244
831,-3.361,0.463244
832,-3.36,0.463244
833,-3.359,0.463244
834,-3.358,0.463244
835,-3.357,0.463244
836,-3.356,0.463244
837,-3.355,0.464983
838,-3.354,0.459767
839,-3.353,0.458028
840,-3.352,0.459767
841,-3.351,0.456289
842,-3.35,0.456289
843,-3.349,0.447595
844,-3.348,0.447595
845,-3.347,0.447595
846,-3.346,0.447595
847,-3.345,0.445856
848,-3.344,0.447595
849,-3.343,0.445856
850,-3.342,0.445856
851,-3.341,0.445856
852,-3.34,0.445856
853,-3.339,0.445856
854,-3.338,0.445856
855,-3.337,0.445856
856,-3.336,0.445856
857,-3.335,0.445856
858,-3.334,0.445856
859,-3.333,0.445856
860,-3.332,0.445856
861,-3.331,0.445856
