;Scopy version,f4beeb1
;Exported on,dimanche mars 17/03/2024
;Device,M2K
;Nr of samples,160000
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.0154235
1,-0.8191,0.0154235
2,-0.819,0.0154235
3,-0.8189,0.0154235
4,-0.8188,0.0154235
5,-0.8187,0.0154235
6,-0.8186,0.0154235
7,-0.8185,0.0154235
8,-0.8184,0.0154235
9,-0.8183,0.0154235
10,-0.8182,0.0154235
11,-0.8181,0.0154235
12,-0.818,0.0154235
13,-0.8179,0.0154235
14,-0.8178,0.0154235
15,-0.8177,0.0154235
16,-0.8176,0.0154235
17,-0.8175,0.0154235
18,-0.8174,0.0154235
19,-0.8173,0.0154235
20,-0.8172,0.0154235
21,-0.8171,0.0154235
22,-0.817,0.0154235
23,-0.8169,0.0154235
24,-0.8168,0.0154235
25,-0.8167,0.0154235
26,-0.8166,0.0154235
27,-0.8165,0.0154235
28,-0.8164,0.0154235
29,-0.8163,0.0154235
30,-0.8162,0.0154235
31,-0.8161,0.0154235
32,-0.816,0.0154235
33,-0.8159,0.0154235
34,-0.8158,0.0154235
35,-0.8157,0.0154235
36,-0.8156,0.0154235
37,-0.8155,0.0154235
38,-0.8154,0.0154235
39,-0.8153,0.0154235
40,-0.8152,0.0154235
41,-0.8151,0.0154235
42,-0.815,0.0154235
43,-0.8149,0.0154235
44,-0.8148,0.0154235
45,-0.8147,0.0154235
46,-0.8146,0.0154235
47,-0.8145,0.0154235
48,-0.8144,0.0154235
49,-0.8143,0.0154235
50,-0.8142,0.0154235
51,-0.8141,0.0154235
52,-0.814,0.0154235
53,-0.8139,0.0154235
54,-0.8138,0.0154235
55,-0.8137,0.0154235
56,-0.8136,0.0154235
57,-0.8135,0.0154235
58,-0.8134,0.0154235
59,-0.8133,0.0154235
60,-0.8132,0.0154235
61,-0.8131,0.0154235
62,-0.813,0.0154235
63,-0.8129,0.0154235
64,-0.8128,0.0154235
65,-0.8127,0.0154235
66,-0.8126,0.0154235
67,-0.8125,0.0154235
68,-0.8124,0.0154235
69,-0.8123,0.0154235
70,-0.8122,0.0154235
71,-0.8121,0.0154235
72,-0.812,0.0154235
73,-0.8119,0.0154235
74,-0.8118,0.0154235
75,-0.8117,0.0154235
76,-0.8116,0.0154235
77,-0.8115,0.0154235
78,-0.8114,0.0154235
79,-0.8113,0.0154235
80,-0.8112,0.0154235
81,-0.8111,0.0154235
82,-0.811,0.0154235
83,-0.8109,0.0154235
84,-0.8108,0.0154235
85,-0.8107,0.0154235
86,-0.8106,0.0154235
87,-0.8105,0.0154235
88,-0.8104,0.0154235
89,-0.8103,0.0154235
90,-0.8102,0.0154235
91,-0.8101,0.0154235
92,-0.81,0.0154235
93,-0.8099,0.0154235
94,-0.8098,0.0154235
95,-0.8097,0.0154235
96,-0.8096,0.0154235
97,-0.8095,0.0154235
98,-0.8094,0.0154235
99,-0.8093,0.0154235
100,-0.8092,0.0154235
101,-0.8091,0.0154235
102,-0.809,0.0154235
103,-0.8089,0.0154235
104,-0.8088,0.0154235
105,-0.8087,0.0154235
106,-0.8086,0.0154235
107,-0.8085,0.0154235
108,-0.8084,0.0154235
109,-0.8083,0.0154235
110,-0.8082,0.0154235
111,-0.8081,0.0154235
112,-0.808,0.0154235
113,-0.8079,0.0154235
114,-0.8078,0.0154235
115,-0.8077,0.0154235
116,-0.8076,0.0154235
117,-0.8075,0.0154235
118,-0.8074,0.0154235
119,-0.8073,0.0154235
120,-0.8072,0.0154235
121,-0.8071,0.0154235
122,-0.807,0.0154235
123,-0.8069,0.0154235
124,-0.8068,0.0154235
125,-0.8067,0.0154235
126,-0.8066,0.0154235
127,-0.8065,0.0154235
128,-0.8064,0.0154235
129,-0.8063,0.0154235
130,-0.8062,0.0154235
131,-0.8061,0.0154235
132,-0.806,0.0154235
133,-0.8059,0.0154235
134,-0.8058,0.0154235
135,-0.8057,0.0154235
136,-0.8056,0.0154235
137,-0.8055,0.0154235
138,-0.8054,0.0154235
139,-0.8053,0.0154235
140,-0.8052,0.0154235
141,-0.8051,0.0154235
142,-0.805,0.0154235
143,-0.8049,0.0154235
144,-0.8048,0.0154235
145,-0.8047,0.0154235
146,-0.8046,0.0154235
147,-0.8045,0.0154235
148,-0.8044,0.0154235
149,-0.8043,0.0154235
150,-0.8042,0.0154235
151,-0.8041,0.0154235
152,-0.804,0.0154235
153,-0.8039,0.0154235
154,-0.8038,0.0154235
155,-0.8037,0.0154235
156,-0.8036,0.0154235
157,-0.8035,0.0154235
158,-0.8034,0.0154235
159,-0.8033,0.0154235
160,-0.8032,0.0154235
161,-0.8031,0.0154235
162,-0.803,0.0154235
163,-0.8029,0.0154235
164,-0.8028,0.0154235
165,-0.8027,0.0154235
166,-0.8026,0.0154235
167,-0.8025,0.0154235
168,-0.8024,0.0154235
169,-0.8023,0.0154235
170,-0.8022,0.0154235
171,-0.8021,0.0154235
172,-0.802,0.0154235
173,-0.8019,0.0154235
174,-0.8018,0.0154235
175,-0.8017,0.0154235
176,-0.8016,0.0154235
177,-0.8015,0.0154235
178,-0.8014,0.0154235
179,-0.8013,0.0154235
180,-0.8012,0.0154235
181,-0.8011,0.0154235
182,-0.801,0.0154235
183,-0.8009,0.0154235
184,-0.8008,0.0154235
185,-0.8007,0.0154235
186,-0.8006,0.0154235
187,-0.8005,0.0154235
188,-0.8004,0.0154235
189,-0.8003,0.0154235
190,-0.8002,0.0154235
191,-0.8001,0.0154235
192,-0.8,0.0154235
193,-0.7999,0.0154235
194,-0.7998,0.0154235
195,-0.7997,0.0154235
196,-0.7996,0.0154235
197,-0.7995,0.0154235
198,-0.7994,0.0154235
199,-0.7993,0.0154235
200,-0.7992,0.0154235
201,-0.7991,0.0154235
202,-0.799,0.0154235
203,-0.7989,0.0154235
204,-0.7988,0.0154235
205,-0.7987,0.0154235
206,-0.7986,0.0154235
207,-0.7985,0.0154235
208,-0.7984,0.0154235
209,-0.7983,0.0154235
