;Scopy version,f4beeb1
;Exported on,lundi mars 18/03/2024
;Device,M2K
;Nr of samples,160000
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.0356299
1,-0.8191,0.0356299
2,-0.819,0.0356299
3,-0.8189,0.0356299
4,-0.8188,0.0356299
5,-0.8187,0.0356299
6,-0.8186,0.0356299
7,-0.8185,0.0356299
8,-0.8184,0.0356299
9,-0.8183,0.0356299
10,-0.8182,0.0356299
11,-0.8181,0.0372859
12,-0.818,0.0372859
13,-0.8179,0.0356299
14,-0.8178,0.0356299
15,-0.8177,0.0356299
16,-0.8176,0.0356299
17,-0.8175,0.0356299
18,-0.8174,0.0356299
19,-0.8173,0.0356299
20,-0.8172,0.0356299
21,-0.8171,0.0356299
22,-0.817,0.0356299
23,-0.8169,0.0356299
24,-0.8168,0.038942
25,-0.8167,0.0356299
26,-0.8166,0.0356299
27,-0.8165,0.0356299
28,-0.8164,0.0356299
29,-0.8163,0.0356299
30,-0.8162,0.0356299
31,-0.8161,0.0372859
32,-0.816,0.0372859
33,-0.8159,0.0356299
34,-0.8158,0.0356299
35,-0.8157,0.0356299
36,-0.8156,0.0356299
37,-0.8155,0.0356299
38,-0.8154,0.0356299
39,-0.8153,0.0356299
40,-0.8152,0.0356299
41,-0.8151,0.0372859
42,-0.815,0.0372859
43,-0.8149,0.038942
44,-0.8148,0.0372859
45,-0.8147,0.0372859
46,-0.8146,0.0372859
47,-0.8145,0.0356299
48,-0.8144,0.0356299
49,-0.8143,0.0356299
50,-0.8142,0.0356299
51,-0.8141,0.0356299
52,-0.814,0.0356299
53,-0.8139,0.0356299
54,-0.8138,0.0356299
55,-0.8137,0.0356299
56,-0.8136,0.0356299
57,-0.8135,0.0356299
58,-0.8134,0.0356299
59,-0.8133,0.0356299
60,-0.8132,0.0356299
61,-0.8131,0.0356299
62,-0.813,0.0356299
63,-0.8129,0.0356299
64,-0.8128,0.0356299
65,-0.8127,0.0356299
66,-0.8126,0.0372859
67,-0.8125,0.0372859
68,-0.8124,0.0356299
69,-0.8123,0.0356299
70,-0.8122,0.0356299
71,-0.8121,0.0356299
72,-0.812,0.0356299
73,-0.8119,0.0356299
74,-0.8118,0.0356299
75,-0.8117,0.0356299
76,-0.8116,0.0356299
77,-0.8115,0.0356299
78,-0.8114,0.0356299
79,-0.8113,0.0356299
80,-0.8112,0.0356299
81,-0.8111,0.038942
82,-0.811,0.0372859
83,-0.8109,0.0372859
84,-0.8108,0.0356299
85,-0.8107,0.0356299
86,-0.8106,0.0356299
87,-0.8105,0.0356299
88,-0.8104,0.0356299
89,-0.8103,0.0356299
90,-0.8102,0.0356299
91,-0.8101,0.0356299
92,-0.81,0.038942
93,-0.8099,0.0372859
94,-0.8098,0.0372859
95,-0.8097,0.0372859
96,-0.8096,0.0356299
97,-0.8095,0.0356299
98,-0.8094,0.0356299
99,-0.8093,0.0372859
100,-0.8092,0.0372859
101,-0.8091,0.0372859
102,-0.809,0.0372859
103,-0.8089,0.0356299
104,-0.8088,0.0356299
105,-0.8087,0.0356299
106,-0.8086,0.0356299
107,-0.8085,0.0356299
108,-0.8084,0.0356299
109,-0.8083,0.0356299
110,-0.8082,0.0356299
111,-0.8081,0.0356299
112,-0.808,0.0356299
113,-0.8079,0.0356299
114,-0.8078,0.0356299
115,-0.8077,0.0356299
116,-0.8076,0.0356299
117,-0.8075,0.0356299
118,-0.8074,0.0356299
119,-0.8073,0.0356299
120,-0.8072,0.0356299
121,-0.8071,0.0356299
122,-0.807,0.0356299
123,-0.8069,0.0356299
124,-0.8068,0.0356299
125,-0.8067,0.0356299
126,-0.8066,0.0356299
127,-0.8065,0.0356299
128,-0.8064,0.0356299
129,-0.8063,0.0356299
130,-0.8062,0.0356299
131,-0.8061,0.0356299
132,-0.806,0.0356299
133,-0.8059,0.0356299
134,-0.8058,0.0356299
135,-0.8057,0.0356299
136,-0.8056,0.0356299
137,-0.8055,0.0356299
138,-0.8054,0.0356299
139,-0.8053,0.0356299
140,-0.8052,0.0356299
141,-0.8051,0.0356299
142,-0.805,0.0356299
143,-0.8049,0.0356299
144,-0.8048,0.0356299
145,-0.8047,0.0356299
146,-0.8046,0.0356299
147,-0.8045,0.0356299
148,-0.8044,0.0356299
149,-0.8043,0.0356299
150,-0.8042,0.0356299
151,-0.8041,0.0356299
152,-0.804,0.0356299
153,-0.8039,0.0356299
154,-0.8038,0.0356299
155,-0.8037,0.0356299
156,-0.8036,0.0356299
157,-0.8035,0.0356299
158,-0.8034,0.0356299
159,-0.8033,0.0356299
160,-0.8032,0.0356299
161,-0.8031,0.0356299
162,-0.803,0.0356299
163,-0.8029,0.0356299
164,-0.8028,0.0356299
165,-0.8027,0.0356299
166,-0.8026,0.0356299
167,-0.8025,0.0356299
168,-0.8024,0.0356299
169,-0.8023,0.0356299
170,-0.8022,0.0356299
171,-0.8021,0.0356299
172,-0.802,0.0356299
173,-0.8019,0.0356299
174,-0.8018,0.0356299
175,-0.8017,0.0356299
176,-0.8016,0.0356299
177,-0.8015,0.0356299
178,-0.8014,0.0356299
179,-0.8013,0.0356299
180,-0.8012,0.0356299
181,-0.8011,0.0356299
182,-0.801,0.0356299
183,-0.8009,0.0356299
184,-0.8008,0.0356299
185,-0.8007,0.0356299
186,-0.8006,0.0356299
187,-0.8005,0.0356299
188,-0.8004,0.0372859
189,-0.8003,0.0372859
190,-0.8002,0.0372859
191,-0.8001,0.0372859
192,-0.8,0.038942
193,-0.7999,0.038942
194,-0.7998,0.0356299
195,-0.7997,0.0356299
196,-0.7996,0.0372859
197,-0.7995,0.0372859
198,-0.7994,0.0356299
199,-0.7993,0.0356299
200,-0.7992,0.0356299
201,-0.7991,0.0356299
202,-0.799,0.0372859
203,-0.7989,0.0372859
204,-0.7988,0.0356299
205,-0.7987,0.0356299
206,-0.7986,0.0356299
207,-0.7985,0.0356299
208,-0.7984,0.0356299
209,-0.7983,0.0356299
210,-0.7982,0.0356299
211,-0.7981,0.0356299
212,-0.798,0.0356299
213,-0.7979,0.0356299
214,-0.7978,0.0356299
215,-0.7977,0.0356299
216,-0.7976,0.0356299
217,-0.7975,0.0356299
218,-0.7974,0.0356299
219,-0.7973,0.0356299
220,-0.7972,0.0356299
221,-0.7971,0.0356299
222,-0.797,0.0356299
223,-0.7969,0.0356299
224,-0.7968,0.0356299
225,-0.7967,0.0356299
226,-0.7966,0.0356299
227,-0.7965,0.0356299
228,-0.7964,0.0356299
229,-0.7963,0.0356299
230,-0.7962,0.0356299
231,-0.7961,0.0356299
232,-0.796,0.0356299
233,-0.7959,0.0356299
234,-0.7958,0.0356299
235,-0.7957,0.0356299
236,-0.7956,0.0356299
237,-0.7955,0.0356299
238,-0.7954,0.0356299
239,-0.7953,0.0356299
240,-0.7952,0.0356299
241,-0.7951,0.0356299
242,-0.795,0.0356299
243,-0.7949,0.0356299
244,-0.7948,0.0356299
245,-0.7947,0.0356299
