;Scopy version,f4beeb1
;Exported on,samedi mars 16/03/2024
;Device,M2K
;Nr of samples,160000
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.0979816
1,-0.8191,0.0979816
2,-0.819,0.0979816
3,-0.8189,0.0979816
4,-0.8188,0.0979816
5,-0.8187,0.0979816
6,-0.8186,0.0979816
7,-0.8185,0.0979816
8,-0.8184,0.0979816
9,-0.8183,0.0979816
10,-0.8182,0.0979816
11,-0.8181,0.0979816
12,-0.818,0.0979816
13,-0.8179,0.0979816
14,-0.8178,0.0979816
15,-0.8177,0.0979816
16,-0.8176,0.0979816
17,-0.8175,0.0979816
18,-0.8174,0.0979816
19,-0.8173,0.0979816
20,-0.8172,0.0979816
21,-0.8171,0.0979816
22,-0.817,0.0979816
23,-0.8169,0.0979816
24,-0.8168,0.0979816
25,-0.8167,0.0979816
26,-0.8166,0.0979816
27,-0.8165,0.0979816
28,-0.8164,0.0979816
29,-0.8163,0.0979816
30,-0.8162,0.0979816
31,-0.8161,0.0979816
32,-0.816,0.0979816
33,-0.8159,0.0979816
34,-0.8158,0.0979816
35,-0.8157,0.0979816
36,-0.8156,0.0979816
37,-0.8155,0.0979816
38,-0.8154,0.0979816
39,-0.8153,0.0979816
40,-0.8152,0.0979816
41,-0.8151,0.0979816
42,-0.815,0.0979816
43,-0.8149,0.0979816
44,-0.8148,0.0979816
45,-0.8147,0.0979816
46,-0.8146,0.0979816
47,-0.8145,0.0979816
48,-0.8144,0.0979816
49,-0.8143,0.0979816
50,-0.8142,0.0979816
51,-0.8141,0.0979816
52,-0.814,0.0979816
53,-0.8139,0.0979816
54,-0.8138,0.0979816
55,-0.8137,0.0979816
56,-0.8136,0.0979816
57,-0.8135,0.0979816
58,-0.8134,0.0979816
59,-0.8133,0.0979816
60,-0.8132,0.0979816
61,-0.8131,0.0979816
62,-0.813,0.0979816
63,-0.8129,0.0979816
64,-0.8128,0.0979816
65,-0.8127,0.0979816
66,-0.8126,0.0979816
67,-0.8125,0.0979816
68,-0.8124,0.0979816
69,-0.8123,0.0979816
70,-0.8122,0.0979816
71,-0.8121,0.0979816
72,-0.812,0.0979816
73,-0.8119,0.0979816
74,-0.8118,0.0979816
75,-0.8117,0.0979816
76,-0.8116,0.0963256
77,-0.8115,0.0996377
78,-0.8114,0.101294
79,-0.8113,0.101294
80,-0.8112,0.104606
81,-0.8111,0.104606
82,-0.811,0.107918
83,-0.8109,0.107918
84,-0.8108,0.109574
85,-0.8107,0.109574
86,-0.8106,0.109574
87,-0.8105,0.112886
88,-0.8104,0.112886
89,-0.8103,0.112886
90,-0.8102,0.114542
91,-0.8101,0.114542
92,-0.81,0.116198
93,-0.8099,0.116198
94,-0.8098,0.117854
95,-0.8097,0.117854
96,-0.8096,0.117854
97,-0.8095,0.11951
98,-0.8094,0.11951
99,-0.8093,0.11951
100,-0.8092,0.121166
101,-0.8091,0.121166
102,-0.809,0.121166
103,-0.8089,0.121166
104,-0.8088,0.121166
105,-0.8087,0.122822
106,-0.8086,0.122822
107,-0.8085,0.122822
108,-0.8084,0.122822
109,-0.8083,0.122822
110,-0.8082,0.126134
111,-0.8081,0.126134
112,-0.808,0.126134
113,-0.8079,0.126134
114,-0.8078,0.126134
115,-0.8077,0.126134
116,-0.8076,0.12779
117,-0.8075,0.12779
118,-0.8074,0.12779
119,-0.8073,0.12779
120,-0.8072,0.12779
121,-0.8071,0.12779
122,-0.807,0.12779
123,-0.8069,0.12779
124,-0.8068,0.129447
125,-0.8067,0.129447
126,-0.8066,0.129447
127,-0.8065,0.129447
128,-0.8064,0.131103
129,-0.8063,0.131103
130,-0.8062,0.131103
131,-0.8061,0.131103
132,-0.806,0.131103
133,-0.8059,0.132759
134,-0.8058,0.132759
135,-0.8057,0.132759
136,-0.8056,0.134415
137,-0.8055,0.134415
138,-0.8054,0.134415
139,-0.8053,0.134415
140,-0.8052,0.134415
141,-0.8051,0.136071
142,-0.805,0.136071
143,-0.8049,0.136071
144,-0.8048,0.136071
145,-0.8047,0.137727
146,-0.8046,0.137727
147,-0.8045,0.137727
148,-0.8044,0.137727
149,-0.8043,0.137727
150,-0.8042,0.137727
151,-0.8041,0.137727
152,-0.804,0.137727
153,-0.8039,0.137727
154,-0.8038,0.137727
155,-0.8037,0.137727
156,-0.8036,0.137727
157,-0.8035,0.137727
158,-0.8034,0.137727
159,-0.8033,0.137727
160,-0.8032,0.137727
161,-0.8031,0.137727
162,-0.803,0.137727
163,-0.8029,0.137727
164,-0.8028,0.137727
165,-0.8027,0.137727
166,-0.8026,0.137727
167,-0.8025,0.137727
168,-0.8024,0.137727
169,-0.8023,0.136071
170,-0.8022,0.136071
171,-0.8021,0.136071
172,-0.802,0.136071
173,-0.8019,0.136071
174,-0.8018,0.136071
175,-0.8017,0.137727
176,-0.8016,0.137727
177,-0.8015,0.139383
178,-0.8014,0.139383
179,-0.8013,0.139383
180,-0.8012,0.141039
181,-0.8011,0.141039
182,-0.801,0.141039
183,-0.8009,0.142695
184,-0.8008,0.142695
185,-0.8007,0.142695
186,-0.8006,0.144351
187,-0.8005,0.144351
188,-0.8004,0.144351
189,-0.8003,0.144351
190,-0.8002,0.144351
191,-0.8001,0.147663
192,-0.8,0.144351
193,-0.7999,0.144351
194,-0.7998,0.144351
195,-0.7997,0.144351
196,-0.7996,0.144351
197,-0.7995,0.144351
198,-0.7994,0.142695
199,-0.7993,0.142695
200,-0.7992,0.142695
201,-0.7991,0.142695
202,-0.799,0.142695
203,-0.7989,0.142695
204,-0.7988,0.142695
205,-0.7987,0.142695
206,-0.7986,0.142695
207,-0.7985,0.141039
208,-0.7984,0.141039
209,-0.7983,0.141039
210,-0.7982,0.141039
211,-0.7981,0.141039
212,-0.798,0.141039
213,-0.7979,0.141039
214,-0.7978,0.141039
215,-0.7977,0.141039
216,-0.7976,0.141039
217,-0.7975,0.141039
218,-0.7974,0.141039
219,-0.7973,0.141039
220,-0.7972,0.141039
221,-0.7971,0.141039
222,-0.797,0.141039
223,-0.7969,0.141039
224,-0.7968,0.139383
225,-0.7967,0.139383
226,-0.7966,0.139383
227,-0.7965,0.139383
228,-0.7964,0.139383
229,-0.7963,0.139383
230,-0.7962,0.139383
231,-0.7961,0.139383
232,-0.796,0.137727
233,-0.7959,0.137727
234,-0.7958,0.137727
235,-0.7957,0.137727
236,-0.7956,0.136071
237,-0.7955,0.136071
238,-0.7954,0.136071
239,-0.7953,0.136071
240,-0.7952,0.136071
241,-0.7951,0.136071
242,-0.795,0.134415
243,-0.7949,0.134415
244,-0.7948,0.134415
245,-0.7947,0.134415
246,-0.7946,0.134415
247,-0.7945,0.134415
248,-0.7944,0.134415
249,-0.7943,0.134415
250,-0.7942,0.132759
251,-0.7941,0.132759
252,-0.794,0.132759
253,-0.7939,0.132759
254,-0.7938,0.132759
255,-0.7937,0.132759
256,-0.7936,0.132759
257,-0.7935,0.132759
258,-0.7934,0.132759
259,-0.7933,0.132759
260,-0.7932,0.132759
261,-0.7931,0.132759
262,-0.793,0.132759
263,-0.7929,0.132759
264,-0.7928,0.131103
265,-0.7927,0.131103
266,-0.7926,0.131103
267,-0.7925,0.131103
268,-0.7924,0.131103
269,-0.7923,0.131103
270,-0.7922,0.131103
271,-0.7921,0.131103
272,-0.792,0.132759
273,-0.7919,0.132759
274,-0.7918,0.132759
275,-0.7917,0.132759
276,-0.7916,0.132759
277,-0.7915,0.132759
278,-0.7914,0.132759
279,-0.7913,0.132759
280,-0.7912,0.132759
281,-0.7911,0.132759
282,-0.791,0.132759
283,-0.7909,0.132759
284,-0.7908,0.132759
285,-0.7907,0.132759
286,-0.7906,0.132759
287,-0.7905,0.132759
288,-0.7904,0.132759
289,-0.7903,0.132759
290,-0.7902,0.132759
291,-0.7901,0.132759
292,-0.79,0.132759
293,-0.7899,0.132759
294,-0.7898,0.132759
295,-0.7897,0.132759
296,-0.7896,0.132759
297,-0.7895,0.132759
298,-0.7894,0.132759
299,-0.7893,0.132759
300,-0.7892,0.132759
301,-0.7891,0.132759
302,-0.789,0.132759
303,-0.7889,0.132759
304,-0.7888,0.132759
305,-0.7887,0.132759
306,-0.7886,0.132759
307,-0.7885,0.132759
308,-0.7884,0.132759
309,-0.7883,0.132759
310,-0.7882,0.132759
311,-0.7881,0.134415
312,-0.788,0.134415
313,-0.7879,0.134415
314,-0.7878,0.134415
315,-0.7877,0.134415
316,-0.7876,0.134415
317,-0.7875,0.134415
318,-0.7874,0.134415
319,-0.7873,0.134415
320,-0.7872,0.134415
321,-0.7871,0.134415
322,-0.787,0.134415
323,-0.7869,0.134415
324,-0.7868,0.134415
325,-0.7867,0.134415
326,-0.7866,0.134415
327,-0.7865,0.134415
328,-0.7864,0.134415
329,-0.7863,0.134415
330,-0.7862,0.134415
331,-0.7861,0.134415
332,-0.786,0.134415
333,-0.7859,0.134415
334,-0.7858,0.134415
335,-0.7857,0.134415
336,-0.7856,0.134415
337,-0.7855,0.134415
338,-0.7854,0.134415
339,-0.7853,0.134415
340,-0.7852,0.134415
341,-0.7851,0.134415
342,-0.785,0.134415
343,-0.7849,0.134415
344,-0.7848,0.134415
345,-0.7847,0.134415
346,-0.7846,0.134415
347,-0.7845,0.131103
348,-0.7844,0.134415
349,-0.7843,0.132759
350,-0.7842,0.132759
351,-0.7841,0.132759
352,-0.784,0.132759
353,-0.7839,0.132759
354,-0.7838,0.132759
355,-0.7837,0.132759
356,-0.7836,0.132759
357,-0.7835,0.132759
358,-0.7834,0.132759
359,-0.7833,0.132759
360,-0.7832,0.131103
361,-0.7831,0.131103
362,-0.783,0.131103
363,-0.7829,0.131103
364,-0.7828,0.131103
365,-0.7827,0.131103
366,-0.7826,0.131103
367,-0.7825,0.131103
368,-0.7824,0.131103
369,-0.7823,0.131103
370,-0.7822,0.131103
371,-0.7821,0.131103
372,-0.782,0.131103
373,-0.7819,0.131103
374,-0.7818,0.131103
375,-0.7817,0.131103
376,-0.7816,0.131103
377,-0.7815,0.131103
378,-0.7814,0.131103
379,-0.7813,0.131103
380,-0.7812,0.131103
381,-0.7811,0.131103
382,-0.781,0.131103
383,-0.7809,0.131103
384,-0.7808,0.131103
385,-0.7807,0.131103
386,-0.7806,0.131103
387,-0.7805,0.131103
388,-0.7804,0.131103
389,-0.7803,0.12779
390,-0.7802,0.12779
391,-0.7801,0.12779
392,-0.78,0.126134
393,-0.7799,0.121166
394,-0.7798,0.121166
395,-0.7797,0.121166
396,-0.7796,0.11951
397,-0.7795,0.11951
398,-0.7794,0.116198
399,-0.7793,0.116198
400,-0.7792,0.116198
401,-0.7791,0.116198
402,-0.779,0.114542
403,-0.7789,0.114542
404,-0.7788,0.112886
405,-0.7787,0.112886
406,-0.7786,0.112886
407,-0.7785,0.11123
408,-0.7784,0.11123
409,-0.7783,0.11123
410,-0.7782,0.109574
411,-0.7781,0.109574
412,-0.778,0.109574
413,-0.7779,0.107918
414,-0.7778,0.107918
415,-0.7777,0.107918
416,-0.7776,0.107918
417,-0.7775,0.107918
418,-0.7774,0.106262
419,-0.7773,0.106262
420,-0.7772,0.106262
421,-0.7771,0.106262
422,-0.777,0.106262
423,-0.7769,0.106262
424,-0.7768,0.104606
425,-0.7767,0.104606
426,-0.7766,0.104606
427,-0.7765,0.104606
428,-0.7764,0.104606
429,-0.7763,0.104606
430,-0.7762,0.101294
431,-0.7761,0.101294
432,-0.776,0.101294
433,-0.7759,0.101294
434,-0.7758,0.101294
435,-0.7757,0.101294
436,-0.7756,0.101294
437,-0.7755,0.101294
438,-0.7754,0.101294
439,-0.7753,0.101294
440,-0.7752,0.101294
441,-0.7751,0.101294
442,-0.775,0.101294
443,-0.7749,0.0979816
444,-0.7748,0.0996377
445,-0.7747,0.0996377
446,-0.7746,0.0996377
447,-0.7745,0.0996377
448,-0.7744,0.0996377
449,-0.7743,0.0996377
450,-0.7742,0.0996377
451,-0.7741,0.0996377
452,-0.774,0.0996377
453,-0.7739,0.0996377
454,-0.7738,0.0996377
455,-0.7737,0.0996377
456,-0.7736,0.0996377
457,-0.7735,0.0996377
458,-0.7734,0.0996377
459,-0.7733,0.0996377
460,-0.7732,0.0996377
461,-0.7731,0.0996377
462,-0.773,0.0996377
463,-0.7729,0.0996377
464,-0.7728,0.0996377
465,-0.7727,0.0979816
466,-0.7726,0.0963256
467,-0.7725,0.0979816
468,-0.7724,0.0979816
469,-0.7723,0.0979816
470,-0.7722,0.0979816
471,-0.7721,0.0979816
472,-0.772,0.0979816
473,-0.7719,0.0979816
474,-0.7718,0.0979816
475,-0.7717,0.0979816
476,-0.7716,0.0979816
477,-0.7715,0.0979816
478,-0.7714,0.0979816
479,-0.7713,0.0979816
480,-0.7712,0.0979816
481,-0.7711,0.0979816
482,-0.771,0.0979816
483,-0.7709,0.0979816
484,-0.7708,0.0979816
485,-0.7707,0.0979816
486,-0.7706,0.0979816
487,-0.7705,0.0979816
488,-0.7704,0.0979816
489,-0.7703,0.0979816
490,-0.7702,0.0979816
491,-0.7701,0.0979816
492,-0.77,0.0979816
493,-0.7699,0.0979816
494,-0.7698,0.0979816
495,-0.7697,0.0979816
496,-0.7696,0.0979816
497,-0.7695,0.0979816
498,-0.7694,0.0979816
499,-0.7693,0.0979816
500,-0.7692,0.0979816
501,-0.7691,0.0979816
502,-0.769,0.0979816
503,-0.7689,0.0979816
504,-0.7688,0.0979816
505,-0.7687,0.0979816
506,-0.7686,0.0979816
507,-0.7685,0.0979816
508,-0.7684,0.0979816
509,-0.7683,0.0979816
510,-0.7682,0.0979816
511,-0.7681,0.0979816
512,-0.768,0.0979816
513,-0.7679,0.0979816
514,-0.7678,0.0979816
515,-0.7677,0.0979816
516,-0.7676,0.0979816
517,-0.7675,0.0979816
518,-0.7674,0.0979816
519,-0.7673,0.0979816
520,-0.7672,0.0979816
521,-0.7671,0.0979816
522,-0.767,0.0979816
523,-0.7669,0.0979816
524,-0.7668,0.0979816
525,-0.7667,0.0979816
526,-0.7666,0.0979816
527,-0.7665,0.0979816
528,-0.7664,0.0979816
529,-0.7663,0.0979816
530,-0.7662,0.0979816
531,-0.7661,0.0979816
532,-0.766,0.0979816
533,-0.7659,0.0979816
534,-0.7658,0.0979816
535,-0.7657,0.0979816
536,-0.7656,0.0979816
537,-0.7655,0.0979816
538,-0.7654,0.0979816
539,-0.7653,0.0979816
540,-0.7652,0.0979816
541,-0.7651,0.0979816
542,-0.765,0.0979816
543,-0.7649,0.0979816
544,-0.7648,0.0979816
545,-0.7647,0.0979816
546,-0.7646,0.0979816
547,-0.7645,0.0979816
548,-0.7644,0.0979816
549,-0.7643,0.0979816
550,-0.7642,0.0979816
551,-0.7641,0.0979816
552,-0.764,0.0979816
553,-0.7639,0.0979816
554,-0.7638,0.0979816
555,-0.7637,0.0979816
556,-0.7636,0.0979816
557,-0.7635,0.0979816
558,-0.7634,0.0979816
559,-0.7633,0.0979816
560,-0.7632,0.0979816
561,-0.7631,0.0979816
562,-0.763,0.0979816
563,-0.7629,0.0979816
564,-0.7628,0.0979816
565,-0.7627,0.0979816
566,-0.7626,0.0979816
567,-0.7625,0.0979816
568,-0.7624,0.0979816
569,-0.7623,0.0979816
570,-0.7622,0.0979816
571,-0.7621,0.0979816
572,-0.762,0.0979816
