;Scopy version,f4beeb1
;Exported on,dimanche mars 17/03/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.919,0.0255684
1,-0.918,0.0255684
2,-0.917,0.0255684
3,-0.916,0.0255684
4,-0.915,0.0255684
5,-0.914,0.0255684
6,-0.913,0.0255684
7,-0.912,0.0255684
8,-0.911,0.0255684
9,-0.91,0.0255684
10,-0.909,0.0255684
11,-0.908,0.0255684
12,-0.907,0.0255684
13,-0.906,0.0255684
14,-0.905,0.0255684
15,-0.904,0.0255684
16,-0.903,0.0255684
17,-0.902,0.0255684
18,-0.901,0.0255684
19,-0.9,0.0255684
20,-0.899,0.0255684
21,-0.898,0.0255684
22,-0.897,0.0255684
23,-0.896,0.0255684
24,-0.895,0.0255684
25,-0.894,0.0255684
26,-0.893,0.0255684
27,-0.892,0.0255684
28,-0.891,0.0255684
29,-0.89,0.0255684
30,-0.889,0.0255684
31,-0.888,0.0255684
32,-0.887,0.0255684
33,-0.886,0.0255684
34,-0.885,0.0255684
35,-0.884,0.0255684
36,-0.883,0.0255684
37,-0.882,0.0255684
38,-0.881,0.0255684
39,-0.88,0.0255684
40,-0.879,0.0255684
41,-0.878,0.0255684
42,-0.877,0.0255684
43,-0.876,0.0255684
44,-0.875,0.0255684
45,-0.874,0.0255684
46,-0.873,0.0255684
47,-0.872,0.0255684
48,-0.871,0.0255684
49,-0.87,0.0255684
50,-0.869,0.0255684
51,-0.868,0.0255684
52,-0.867,0.0255684
53,-0.866,0.0255684
54,-0.865,0.0255684
55,-0.864,0.0255684
56,-0.863,0.0255684
57,-0.862,0.0255684
58,-0.861,0.0255684
59,-0.86,0.0255684
60,-0.859,0.0255684
61,-0.858,0.0255684
62,-0.857,0.0255684
63,-0.856,0.0255684
64,-0.855,0.0255684
65,-0.854,0.0255684
66,-0.853,0.0255684
67,-0.852,0.0255684
68,-0.851,0.0255684
69,-0.85,0.0255684
70,-0.849,0.0255684
71,-0.848,0.0255684
72,-0.847,0.0255684
73,-0.846,0.0255684
74,-0.845,0.0255684
