;Scopy version,f4beeb1
;Exported on,dimanche mars 17/03/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.919,0.107294
1,-0.918,0.107294
2,-0.917,0.107294
3,-0.916,0.107294
4,-0.915,0.107294
5,-0.914,0.107294
6,-0.913,0.107294
7,-0.912,0.107294
8,-0.911,0.107294
9,-0.91,0.107294
10,-0.909,0.107294
11,-0.908,0.107294
12,-0.907,0.107294
13,-0.906,0.107294
14,-0.905,0.107294
15,-0.904,0.107294
16,-0.903,0.107294
17,-0.902,0.107294
18,-0.901,0.107294
19,-0.9,0.107294
20,-0.899,0.107294
21,-0.898,0.102078
22,-0.897,0.105556
23,-0.896,0.105556
24,-0.895,0.105556
25,-0.894,0.105556
26,-0.893,0.105556
27,-0.892,0.105556
28,-0.891,0.107294
29,-0.89,0.107294
30,-0.889,0.107294
31,-0.888,0.107294
32,-0.887,0.107294
33,-0.886,0.107294
34,-0.885,0.107294
35,-0.884,0.107294
36,-0.883,0.107294
37,-0.882,0.107294
38,-0.881,0.107294
39,-0.88,0.107294
40,-0.879,0.107294
41,-0.878,0.107294
42,-0.877,0.107294
43,-0.876,0.107294
44,-0.875,0.107294
45,-0.874,0.107294
46,-0.873,0.107294
47,-0.872,0.107294
48,-0.871,0.107294
49,-0.87,0.107294
50,-0.869,0.107294
51,-0.868,0.107294
52,-0.867,0.107294
53,-0.866,0.107294
54,-0.865,0.107294
55,-0.864,0.107294
56,-0.863,0.107294
57,-0.862,0.107294
58,-0.861,0.107294
59,-0.86,0.107294
60,-0.859,0.107294
61,-0.858,0.107294
62,-0.857,0.107294
63,-0.856,0.107294
64,-0.855,0.102078
65,-0.854,0.105556
66,-0.853,0.105556
67,-0.852,0.105556
68,-0.851,0.105556
69,-0.85,0.102078
70,-0.849,0.107294
71,-0.848,0.107294
72,-0.847,0.107294
73,-0.846,0.107294
74,-0.845,0.107294
75,-0.844,0.107294
76,-0.843,0.107294
77,-0.842,0.107294
78,-0.841,0.107294
79,-0.84,0.107294
80,-0.839,0.107294
81,-0.838,0.107294
82,-0.837,0.107294
83,-0.836,0.107294
84,-0.835,0.107294
85,-0.834,0.107294
86,-0.833,0.107294
87,-0.832,0.107294
88,-0.831,0.107294
89,-0.83,0.107294
90,-0.829,0.107294
91,-0.828,0.107294
92,-0.827,0.107294
93,-0.826,0.107294
94,-0.825,0.107294
95,-0.824,0.107294
96,-0.823,0.107294
97,-0.822,0.107294
98,-0.821,0.107294
99,-0.82,0.107294
100,-0.819,0.107294
101,-0.818,0.107294
102,-0.817,0.107294
103,-0.816,0.107294
104,-0.815,0.107294
105,-0.814,0.107294
106,-0.813,0.105556
107,-0.812,0.105556
108,-0.811,0.105556
109,-0.81,0.105556
110,-0.809,0.105556
111,-0.808,0.105556
112,-0.807,0.105556
113,-0.806,0.105556
114,-0.805,0.105556
115,-0.804,0.107294
116,-0.803,0.107294
117,-0.802,0.107294
118,-0.801,0.107294
119,-0.8,0.107294
120,-0.799,0.107294
121,-0.798,0.107294
122,-0.797,0.107294
123,-0.796,0.107294
124,-0.795,0.107294
125,-0.794,0.107294
126,-0.793,0.107294
127,-0.792,0.107294
128,-0.791,0.107294
129,-0.79,0.107294
130,-0.789,0.107294
131,-0.788,0.107294
132,-0.787,0.107294
133,-0.786,0.107294
134,-0.785,0.107294
135,-0.784,0.107294
136,-0.783,0.107294
137,-0.782,0.107294
138,-0.781,0.107294
139,-0.78,0.107294
140,-0.779,0.107294
141,-0.778,0.107294
142,-0.777,0.107294
143,-0.776,0.107294
144,-0.775,0.107294
145,-0.774,0.107294
146,-0.773,0.107294
147,-0.772,0.107294
148,-0.771,0.107294
149,-0.77,0.107294
150,-0.769,0.107294
151,-0.768,0.102078
152,-0.767,0.105556
153,-0.766,0.105556
154,-0.765,0.105556
155,-0.764,0.105556
156,-0.763,0.102078
157,-0.762,0.107294
158,-0.761,0.107294
159,-0.76,0.107294
160,-0.759,0.107294
161,-0.758,0.107294
162,-0.757,0.107294
163,-0.756,0.107294
164,-0.755,0.107294
165,-0.754,0.107294
166,-0.753,0.107294
167,-0.752,0.107294
168,-0.751,0.107294
169,-0.75,0.107294
170,-0.749,0.107294
171,-0.748,0.107294
172,-0.747,0.107294
173,-0.746,0.107294
174,-0.745,0.107294
175,-0.744,0.107294
176,-0.743,0.107294
177,-0.742,0.107294
178,-0.741,0.107294
179,-0.74,0.107294
180,-0.739,0.107294
181,-0.738,0.107294
182,-0.737,0.107294
183,-0.736,0.107294
184,-0.735,0.107294
185,-0.734,0.107294
186,-0.733,0.107294
187,-0.732,0.107294
188,-0.731,0.107294
189,-0.73,0.107294
190,-0.729,0.107294
191,-0.728,0.107294
192,-0.727,0.107294
193,-0.726,0.107294
194,-0.725,0.102078
195,-0.724,0.105556
196,-0.723,0.105556
197,-0.722,0.105556
198,-0.721,0.105556
199,-0.72,0.105556
200,-0.719,0.102078
201,-0.718,0.107294
202,-0.717,0.107294
203,-0.716,0.107294
204,-0.715,0.107294
205,-0.714,0.107294
206,-0.713,0.107294
207,-0.712,0.107294
208,-0.711,0.107294
209,-0.71,0.107294
210,-0.709,0.107294
211,-0.708,0.107294
212,-0.707,0.107294
213,-0.706,0.107294
214,-0.705,0.107294
215,-0.704,0.107294
216,-0.703,0.107294
217,-0.702,0.107294
218,-0.701,0.107294
219,-0.7,0.107294
220,-0.699,0.107294
221,-0.698,0.107294
222,-0.697,0.107294
223,-0.696,0.107294
224,-0.695,0.107294
225,-0.694,0.107294
226,-0.693,0.107294
227,-0.692,0.107294
228,-0.691,0.107294
229,-0.69,0.107294
230,-0.689,0.107294
231,-0.688,0.107294
232,-0.687,0.107294
233,-0.686,0.107294
234,-0.685,0.107294
235,-0.684,0.107294
236,-0.683,0.107294
237,-0.682,0.107294
238,-0.681,0.102078
239,-0.68,0.105556
240,-0.679,0.105556
241,-0.678,0.105556
242,-0.677,0.105556
243,-0.676,0.102078
244,-0.675,0.107294
245,-0.674,0.107294
246,-0.673,0.107294
247,-0.672,0.107294
248,-0.671,0.107294
249,-0.67,0.107294
250,-0.669,0.107294
251,-0.668,0.107294
252,-0.667,0.107294
253,-0.666,0.107294
254,-0.665,0.107294
255,-0.664,0.107294
256,-0.663,0.107294
257,-0.662,0.107294
258,-0.661,0.107294
259,-0.66,0.107294
260,-0.659,0.107294
261,-0.658,0.107294
262,-0.657,0.107294
263,-0.656,0.107294
264,-0.655,0.107294
265,-0.654,0.107294
266,-0.653,0.107294
267,-0.652,0.107294
268,-0.651,0.107294
269,-0.65,0.107294
270,-0.649,0.107294
271,-0.648,0.107294
272,-0.647,0.107294
273,-0.646,0.107294
274,-0.645,0.107294
275,-0.644,0.107294
276,-0.643,0.107294
277,-0.642,0.107294
278,-0.641,0.107294
279,-0.64,0.107294
280,-0.639,0.105556
281,-0.638,0.105556
282,-0.637,0.105556
283,-0.636,0.105556
284,-0.635,0.105556
285,-0.634,0.105556
286,-0.633,0.105556
287,-0.632,0.105556
288,-0.631,0.105556
289,-0.63,0.107294
290,-0.629,0.107294
291,-0.628,0.107294
292,-0.627,0.107294
293,-0.626,0.107294
294,-0.625,0.107294
295,-0.624,0.107294
296,-0.623,0.107294
297,-0.622,0.107294
298,-0.621,0.107294
299,-0.62,0.107294
300,-0.619,0.107294
301,-0.618,0.107294
302,-0.617,0.107294
303,-0.616,0.107294
304,-0.615,0.107294
305,-0.614,0.107294
306,-0.613,0.107294
307,-0.612,0.107294
308,-0.611,0.107294
309,-0.61,0.107294
310,-0.609,0.107294
311,-0.608,0.107294
312,-0.607,0.107294
313,-0.606,0.107294
314,-0.605,0.107294
315,-0.604,0.107294
316,-0.603,0.107294
317,-0.602,0.107294
318,-0.601,0.107294
319,-0.6,0.107294
320,-0.599,0.107294
321,-0.598,0.107294
322,-0.597,0.107294
323,-0.596,0.105556
324,-0.595,0.105556
325,-0.594,0.105556
326,-0.593,0.105556
327,-0.592,0.105556
328,-0.591,0.105556
329,-0.59,0.105556
330,-0.589,0.102078
331,-0.588,0.107294
332,-0.587,0.107294
333,-0.586,0.107294
334,-0.585,0.107294
335,-0.584,0.107294
336,-0.583,0.107294
337,-0.582,0.107294
338,-0.581,0.107294
339,-0.58,0.107294
340,-0.579,0.107294
341,-0.578,0.107294
342,-0.577,0.107294
343,-0.576,0.107294
344,-0.575,0.107294
345,-0.574,0.107294
346,-0.573,0.107294
347,-0.572,0.107294
348,-0.571,0.107294
349,-0.57,0.107294
350,-0.569,0.107294
351,-0.568,0.107294
352,-0.567,0.107294
353,-0.566,0.107294
354,-0.565,0.107294
355,-0.564,0.107294
356,-0.563,0.107294
357,-0.562,0.107294
358,-0.561,0.107294
359,-0.56,0.107294
360,-0.559,0.107294
361,-0.558,0.107294
362,-0.557,0.107294
363,-0.556,0.107294
364,-0.555,0.107294
365,-0.554,0.107294
366,-0.553,0.107294
367,-0.552,0.105556
368,-0.551,0.105556
369,-0.55,0.105556
370,-0.549,0.105556
371,-0.548,0.105556
372,-0.547,0.105556
373,-0.546,0.105556
374,-0.545,0.105556
375,-0.544,0.105556
376,-0.543,0.107294
377,-0.542,0.107294
378,-0.541,0.107294
379,-0.54,0.107294
380,-0.539,0.107294
381,-0.538,0.107294
382,-0.537,0.107294
383,-0.536,0.107294
384,-0.535,0.107294
385,-0.534,0.107294
386,-0.533,0.107294
387,-0.532,0.107294
388,-0.531,0.107294
389,-0.53,0.107294
390,-0.529,0.107294
391,-0.528,0.107294
392,-0.527,0.107294
393,-0.526,0.107294
394,-0.525,0.107294
395,-0.524,0.107294
396,-0.523,0.107294
397,-0.522,0.107294
398,-0.521,0.107294
399,-0.52,0.107294
400,-0.519,0.107294
401,-0.518,0.107294
402,-0.517,0.107294
403,-0.516,0.107294
404,-0.515,0.107294
405,-0.514,0.107294
406,-0.513,0.107294
407,-0.512,0.107294
408,-0.511,0.107294
409,-0.51,0.107294
410,-0.509,0.107294
411,-0.508,0.107294
412,-0.507,0.102078
413,-0.506,0.105556
414,-0.505,0.105556
415,-0.504,0.105556
