;Scopy version,f4beeb1
;Exported on,samedi mars 02/03/2024
;Device,M2K
;Nr of samples,160000
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.119816
1,-0.8191,0.121472
2,-0.819,0.123128
3,-0.8189,0.124784
4,-0.8188,0.12644
5,-0.8187,0.129752
6,-0.8186,0.128096
7,-0.8185,0.131408
8,-0.8184,0.131408
9,-0.8183,0.131408
10,-0.8182,0.131408
11,-0.8181,0.134721
12,-0.818,0.131408
13,-0.8179,0.131408
14,-0.8178,0.136377
15,-0.8177,0.134721
16,-0.8176,0.136377
17,-0.8175,0.136377
18,-0.8174,0.136377
19,-0.8173,0.139689
20,-0.8172,0.136377
21,-0.8171,0.134721
22,-0.817,0.131408
23,-0.8169,0.129752
24,-0.8168,0.128096
25,-0.8167,0.128096
26,-0.8166,0.128096
27,-0.8165,0.124784
28,-0.8164,0.123128
29,-0.8163,0.123128
30,-0.8162,0.123128
31,-0.8161,0.119816
32,-0.816,0.119816
33,-0.8159,0.11816
34,-0.8158,0.11816
35,-0.8157,0.114848
36,-0.8156,0.113192
37,-0.8155,0.113192
38,-0.8154,0.10988
39,-0.8153,0.10988
40,-0.8152,0.10988
41,-0.8151,0.10988
42,-0.815,0.113192
43,-0.8149,0.113192
44,-0.8148,0.116504
45,-0.8147,0.114848
46,-0.8146,0.116504
47,-0.8145,0.119816
48,-0.8144,0.121472
49,-0.8143,0.123128
50,-0.8142,0.124784
51,-0.8141,0.124784
52,-0.814,0.128096
53,-0.8139,0.128096
54,-0.8138,0.128096
55,-0.8137,0.128096
56,-0.8136,0.128096
57,-0.8135,0.131408
58,-0.8134,0.129752
59,-0.8133,0.131408
60,-0.8132,0.131408
61,-0.8131,0.131408
62,-0.813,0.134721
63,-0.8129,0.131408
64,-0.8128,0.134721
65,-0.8127,0.138033
66,-0.8126,0.136377
67,-0.8125,0.136377
68,-0.8124,0.136377
69,-0.8123,0.131408
70,-0.8122,0.131408
71,-0.8121,0.129752
72,-0.812,0.128096
73,-0.8119,0.12644
74,-0.8118,0.124784
75,-0.8117,0.124784
76,-0.8116,0.121472
77,-0.8115,0.119816
78,-0.8114,0.119816
79,-0.8113,0.11816
80,-0.8112,0.11816
81,-0.8111,0.114848
82,-0.811,0.114848
83,-0.8109,0.114848
84,-0.8108,0.10988
85,-0.8107,0.10988
86,-0.8106,0.10988
87,-0.8105,0.108224
88,-0.8104,0.108224
89,-0.8103,0.108224
90,-0.8102,0.113192
91,-0.8101,0.113192
92,-0.81,0.113192
93,-0.8099,0.116504
94,-0.8098,0.11816
95,-0.8097,0.121472
96,-0.8096,0.121472
97,-0.8095,0.123128
98,-0.8094,0.12644
99,-0.8093,0.12644
100,-0.8092,0.12644
101,-0.8091,0.129752
102,-0.809,0.12644
103,-0.8089,0.129752
104,-0.8088,0.128096
105,-0.8087,0.131408
106,-0.8086,0.129752
107,-0.8085,0.129752
108,-0.8084,0.134721
109,-0.8083,0.131408
110,-0.8082,0.134721
111,-0.8081,0.134721
112,-0.808,0.134721
113,-0.8079,0.138033
114,-0.8078,0.138033
115,-0.8077,0.134721
116,-0.8076,0.134721
117,-0.8075,0.134721
118,-0.8074,0.134721
119,-0.8073,0.129752
120,-0.8072,0.129752
121,-0.8071,0.128096
122,-0.807,0.12644
123,-0.8069,0.12644
124,-0.8068,0.123128
125,-0.8067,0.121472
126,-0.8066,0.119816
127,-0.8065,0.11816
128,-0.8064,0.11816
129,-0.8063,0.116504
130,-0.8062,0.114848
131,-0.8061,0.114848
132,-0.806,0.113192
133,-0.8059,0.10988
134,-0.8058,0.113192
135,-0.8057,0.108224
136,-0.8056,0.10988
137,-0.8055,0.10988
138,-0.8054,0.114848
139,-0.8053,0.114848
140,-0.8052,0.11816
141,-0.8051,0.119816
142,-0.805,0.121472
143,-0.8049,0.124784
144,-0.8048,0.124784
145,-0.8047,0.12644
146,-0.8046,0.12644
147,-0.8045,0.12644
148,-0.8044,0.128096
149,-0.8043,0.128096
150,-0.8042,0.129752
151,-0.8041,0.129752
152,-0.804,0.129752
153,-0.8039,0.131408
154,-0.8038,0.129752
155,-0.8037,0.131408
156,-0.8036,0.136377
157,-0.8035,0.134721
158,-0.8034,0.134721
159,-0.8033,0.134721
160,-0.8032,0.136377
161,-0.8031,0.136377
162,-0.803,0.138033
163,-0.8029,0.134721
164,-0.8028,0.134721
165,-0.8027,0.131408
166,-0.8026,0.131408
167,-0.8025,0.128096
168,-0.8024,0.12644
169,-0.8023,0.124784
170,-0.8022,0.123128
171,-0.8021,0.121472
172,-0.802,0.121472
173,-0.8019,0.119816
174,-0.8018,0.11816
175,-0.8017,0.11816
176,-0.8016,0.114848
177,-0.8015,0.114848
178,-0.8014,0.113192
179,-0.8013,0.113192
180,-0.8012,0.10988
181,-0.8011,0.10988
182,-0.801,0.108224
183,-0.8009,0.10988
184,-0.8008,0.114848
185,-0.8007,0.116504
186,-0.8006,0.11816
187,-0.8005,0.119816
188,-0.8004,0.121472
189,-0.8003,0.121472
190,-0.8002,0.123128
191,-0.8001,0.12644
192,-0.8,0.124784
193,-0.7999,0.124784
194,-0.7998,0.128096
195,-0.7997,0.12644
196,-0.7996,0.129752
197,-0.7995,0.128096
198,-0.7994,0.129752
199,-0.7993,0.129752
200,-0.7992,0.129752
201,-0.7991,0.131408
202,-0.799,0.131408
203,-0.7989,0.131408
204,-0.7988,0.136377
205,-0.7987,0.134721
206,-0.7986,0.134721
207,-0.7985,0.138033
208,-0.7984,0.141345
209,-0.7983,0.138033
210,-0.7982,0.138033
211,-0.7981,0.136377
212,-0.798,0.134721
213,-0.7979,0.131408
214,-0.7978,0.129752
215,-0.7977,0.128096
216,-0.7976,0.12644
217,-0.7975,0.124784
218,-0.7974,0.121472
219,-0.7973,0.121472
220,-0.7972,0.119816
221,-0.7971,0.119816
222,-0.797,0.116504
223,-0.7969,0.114848
224,-0.7968,0.116504
225,-0.7967,0.113192
226,-0.7966,0.10988
227,-0.7965,0.10988
228,-0.7964,0.108224
229,-0.7963,0.113192
230,-0.7962,0.113192
231,-0.7961,0.114848
232,-0.796,0.116504
233,-0.7959,0.11816
234,-0.7958,0.11816
235,-0.7957,0.119816
236,-0.7956,0.123128
237,-0.7955,0.121472
238,-0.7954,0.123128
239,-0.7953,0.123128
240,-0.7952,0.12644
241,-0.7951,0.12644
242,-0.795,0.12644
243,-0.7949,0.12644
244,-0.7948,0.129752
245,-0.7947,0.12644
246,-0.7946,0.129752
247,-0.7945,0.129752
248,-0.7944,0.129752
249,-0.7943,0.129752
250,-0.7942,0.129752
251,-0.7941,0.131408
252,-0.794,0.134721
253,-0.7939,0.136377
254,-0.7938,0.138033
255,-0.7937,0.141345
256,-0.7936,0.141345
257,-0.7935,0.138033
258,-0.7934,0.136377
259,-0.7933,0.134721
260,-0.7932,0.129752
261,-0.7931,0.129752
262,-0.793,0.128096
263,-0.7929,0.12644
264,-0.7928,0.124784
265,-0.7927,0.123128
266,-0.7926,0.123128
267,-0.7925,0.119816
268,-0.7924,0.11816
269,-0.7923,0.116504
270,-0.7922,0.116504
271,-0.7921,0.116504
272,-0.792,0.113192
273,-0.7919,0.10988
274,-0.7918,0.10988
275,-0.7917,0.10988
276,-0.7916,0.10988
277,-0.7915,0.113192
278,-0.7914,0.114848
279,-0.7913,0.114848
280,-0.7912,0.116504
281,-0.7911,0.119816
282,-0.791,0.11816
283,-0.7909,0.11816
284,-0.7908,0.123128
285,-0.7907,0.121472
286,-0.7906,0.124784
287,-0.7905,0.123128
288,-0.7904,0.12644
289,-0.7903,0.124784
290,-0.7902,0.12644
291,-0.7901,0.128096
292,-0.79,0.128096
293,-0.7899,0.128096
294,-0.7898,0.131408
295,-0.7897,0.129752
296,-0.7896,0.131408
297,-0.7895,0.134721
298,-0.7894,0.134721
299,-0.7893,0.138033
300,-0.7892,0.138033
301,-0.7891,0.138033
302,-0.789,0.141345
303,-0.7889,0.143001
304,-0.7888,0.139689
305,-0.7887,0.136377
306,-0.7886,0.136377
307,-0.7885,0.134721
308,-0.7884,0.131408
309,-0.7883,0.129752
310,-0.7882,0.12644
311,-0.7881,0.12644
312,-0.788,0.124784
313,-0.7879,0.123128
314,-0.7878,0.123128
315,-0.7877,0.119816
316,-0.7876,0.11816
317,-0.7875,0.116504
318,-0.7874,0.116504
319,-0.7873,0.114848
320,-0.7872,0.114848
321,-0.7871,0.114848
322,-0.787,0.113192
323,-0.7869,0.113192
324,-0.7868,0.113192
325,-0.7867,0.114848
326,-0.7866,0.114848
327,-0.7865,0.116504
328,-0.7864,0.116504
329,-0.7863,0.119816
330,-0.7862,0.119816
331,-0.7861,0.121472
332,-0.786,0.121472
333,-0.7859,0.123128
334,-0.7858,0.123128
335,-0.7857,0.124784
336,-0.7856,0.12644
337,-0.7855,0.12644
338,-0.7854,0.12644
339,-0.7853,0.129752
340,-0.7852,0.128096
341,-0.7851,0.129752
342,-0.785,0.131408
343,-0.7849,0.134721
344,-0.7848,0.134721
345,-0.7847,0.138033
346,-0.7846,0.136377
347,-0.7845,0.139689
348,-0.7844,0.138033
349,-0.7843,0.141345
350,-0.7842,0.139689
351,-0.7841,0.139689
352,-0.784,0.139689
353,-0.7839,0.138033
354,-0.7838,0.136377
355,-0.7837,0.134721
356,-0.7836,0.131408
357,-0.7835,0.129752
358,-0.7834,0.12644
359,-0.7833,0.12644
360,-0.7832,0.124784
361,-0.7831,0.124784
362,-0.783,0.121472
363,-0.7829,0.119816
364,-0.7828,0.11816
365,-0.7827,0.11816
366,-0.7826,0.11816
367,-0.7825,0.116504
368,-0.7824,0.116504
369,-0.7823,0.114848
370,-0.7822,0.114848
371,-0.7821,0.113192
372,-0.782,0.113192
373,-0.7819,0.113192
374,-0.7818,0.114848
375,-0.7817,0.114848
376,-0.7816,0.116504
377,-0.7815,0.116504
378,-0.7814,0.116504
379,-0.7813,0.121472
380,-0.7812,0.119816
381,-0.7811,0.121472
382,-0.781,0.124784
383,-0.7809,0.123128
384,-0.7808,0.12644
385,-0.7807,0.124784
386,-0.7806,0.12644
387,-0.7805,0.128096
388,-0.7804,0.131408
389,-0.7803,0.131408
390,-0.7802,0.131408
391,-0.7801,0.136377
392,-0.78,0.134721
393,-0.7799,0.136377
394,-0.7798,0.136377
395,-0.7797,0.136377
396,-0.7796,0.136377
397,-0.7795,0.138033
398,-0.7794,0.138033
399,-0.7793,0.138033
400,-0.7792,0.138033
401,-0.7791,0.136377
402,-0.779,0.136377
403,-0.7789,0.131408
404,-0.7788,0.131408
405,-0.7787,0.128096
406,-0.7786,0.12644
407,-0.7785,0.12644
