;Scopy version,f4beeb1
;Exported on,vendredi mars 08/03/2024
;Device,M2K
;Nr of samples,155648
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.07193
1,-0.8191,0.07193
2,-0.819,0.07193
3,-0.8189,0.07193
4,-0.8188,0.07193
5,-0.8187,0.07193
6,-0.8186,0.07193
7,-0.8185,0.07193
8,-0.8184,0.07193
9,-0.8183,0.07193
10,-0.8182,0.07193
11,-0.8181,0.07193
12,-0.818,0.07193
13,-0.8179,0.07193
14,-0.8178,0.07193
15,-0.8177,0.07193
16,-0.8176,0.07193
17,-0.8175,0.07193
18,-0.8174,0.07193
19,-0.8173,0.07193
20,-0.8172,0.07193
21,-0.8171,0.07193
22,-0.817,0.07193
23,-0.8169,0.07193
24,-0.8168,0.07193
25,-0.8167,0.07193
26,-0.8166,0.07193
27,-0.8165,0.07193
28,-0.8164,0.07193
29,-0.8163,0.07193
30,-0.8162,0.07193
31,-0.8161,0.07193
32,-0.816,0.07193
33,-0.8159,0.07193
34,-0.8158,0.07193
35,-0.8157,0.07193
36,-0.8156,0.07193
37,-0.8155,0.07193
38,-0.8154,0.07193
39,-0.8153,0.07193
40,-0.8152,0.07193
41,-0.8151,0.07193
42,-0.815,0.07193
43,-0.8149,0.07193
44,-0.8148,0.07193
45,-0.8147,0.07193
46,-0.8146,0.07193
47,-0.8145,0.07193
48,-0.8144,0.07193
49,-0.8143,0.07193
50,-0.8142,0.07193
51,-0.8141,0.07193
52,-0.814,0.07193
53,-0.8139,0.07193
54,-0.8138,0.07193
55,-0.8137,0.07193
56,-0.8136,0.07193
57,-0.8135,0.07193
58,-0.8134,0.07193
59,-0.8133,0.07193
60,-0.8132,0.07193
61,-0.8131,0.07193
62,-0.813,0.07193
63,-0.8129,0.07193
64,-0.8128,0.07193
65,-0.8127,0.07193
66,-0.8126,0.07193
67,-0.8125,0.07193
68,-0.8124,0.07193
69,-0.8123,0.07193
70,-0.8122,0.07193
71,-0.8121,0.07193
72,-0.812,0.07193
73,-0.8119,0.07193
74,-0.8118,0.07193
75,-0.8117,0.07193
76,-0.8116,0.07193
77,-0.8115,0.07193
78,-0.8114,0.07193
79,-0.8113,0.07193
80,-0.8112,0.07193
81,-0.8111,0.07193
82,-0.811,0.07193
83,-0.8109,0.07193
84,-0.8108,0.07193
85,-0.8107,0.07193
86,-0.8106,0.07193
87,-0.8105,0.07193
88,-0.8104,0.07193
89,-0.8103,0.07193
90,-0.8102,0.07193
91,-0.8101,0.073586
92,-0.81,0.07193
93,-0.8099,0.07193
94,-0.8098,0.07193
95,-0.8097,0.07193
96,-0.8096,0.07193
97,-0.8095,0.07193
98,-0.8094,0.07193
99,-0.8093,0.07193
100,-0.8092,0.07193
101,-0.8091,0.07193
102,-0.809,0.07193
103,-0.8089,0.07193
104,-0.8088,0.07193
105,-0.8087,0.07193
106,-0.8086,0.07193
107,-0.8085,0.07193
108,-0.8084,0.07193
109,-0.8083,0.07193
110,-0.8082,0.07193
111,-0.8081,0.07193
112,-0.808,0.07193
113,-0.8079,0.07193
114,-0.8078,0.07193
115,-0.8077,0.07193
116,-0.8076,0.07193
117,-0.8075,0.07193
118,-0.8074,0.07193
119,-0.8073,0.07193
120,-0.8072,0.07193
121,-0.8071,0.07193
122,-0.807,0.07193
123,-0.8069,0.07193
124,-0.8068,0.07193
125,-0.8067,0.07193
126,-0.8066,0.07193
127,-0.8065,0.07193
128,-0.8064,0.07193
129,-0.8063,0.07193
130,-0.8062,0.07193
131,-0.8061,0.07193
132,-0.806,0.07193
133,-0.8059,0.07193
134,-0.8058,0.07193
135,-0.8057,0.07193
136,-0.8056,0.07193
137,-0.8055,0.07193
138,-0.8054,0.07193
139,-0.8053,0.07193
140,-0.8052,0.07193
141,-0.8051,0.07193
142,-0.805,0.07193
143,-0.8049,0.07193
144,-0.8048,0.07193
145,-0.8047,0.07193
146,-0.8046,0.07193
147,-0.8045,0.07193
148,-0.8044,0.07193
149,-0.8043,0.07193
150,-0.8042,0.07193
151,-0.8041,0.07193
152,-0.804,0.07193
153,-0.8039,0.07193
154,-0.8038,0.07193
155,-0.8037,0.07193
156,-0.8036,0.07193
157,-0.8035,0.07193
158,-0.8034,0.07193
159,-0.8033,0.07193
160,-0.8032,0.07193
161,-0.8031,0.07193
162,-0.803,0.07193
163,-0.8029,0.07193
164,-0.8028,0.07193
165,-0.8027,0.07193
166,-0.8026,0.07193
167,-0.8025,0.07193
168,-0.8024,0.07193
169,-0.8023,0.07193
170,-0.8022,0.07193
171,-0.8021,0.07193
172,-0.802,0.07193
173,-0.8019,0.07193
174,-0.8018,0.07193
175,-0.8017,0.07193
176,-0.8016,0.07193
177,-0.8015,0.07193
178,-0.8014,0.07193
179,-0.8013,0.07193
180,-0.8012,0.07193
181,-0.8011,0.07193
182,-0.801,0.07193
183,-0.8009,0.07193
184,-0.8008,0.07193
185,-0.8007,0.07193
186,-0.8006,0.07193
187,-0.8005,0.07193
188,-0.8004,0.07193
189,-0.8003,0.07193
190,-0.8002,0.07193
191,-0.8001,0.07193
192,-0.8,0.07193
193,-0.7999,0.073586
194,-0.7998,0.073586
195,-0.7997,0.0768981
196,-0.7996,0.0802102
197,-0.7995,0.0851784
198,-0.7994,0.0851784
199,-0.7993,0.0884905
200,-0.7992,0.0901465
201,-0.7991,0.0934586
202,-0.799,0.0934586
203,-0.7989,0.0934586
204,-0.7988,0.0951147
205,-0.7987,0.0967707
206,-0.7986,0.0967707
207,-0.7985,0.0984268
208,-0.7984,0.0984268
209,-0.7983,0.100083
210,-0.7982,0.100083
211,-0.7981,0.101739
212,-0.798,0.101739
213,-0.7979,0.101739
214,-0.7978,0.101739
215,-0.7977,0.105051
216,-0.7976,0.105051
217,-0.7975,0.105051
218,-0.7974,0.106707
219,-0.7973,0.106707
220,-0.7972,0.108363
221,-0.7971,0.108363
222,-0.797,0.108363
223,-0.7969,0.111675
224,-0.7968,0.111675
225,-0.7967,0.111675
226,-0.7966,0.111675
227,-0.7965,0.113331
228,-0.7964,0.113331
229,-0.7963,0.113331
230,-0.7962,0.114987
231,-0.7961,0.114987
232,-0.796,0.114987
233,-0.7959,0.114987
234,-0.7958,0.114987
235,-0.7957,0.114987
236,-0.7956,0.114987
237,-0.7955,0.114987
238,-0.7954,0.114987
239,-0.7953,0.114987
240,-0.7952,0.113331
241,-0.7951,0.113331
242,-0.795,0.114987
243,-0.7949,0.116643
244,-0.7948,0.116643
245,-0.7947,0.119955
246,-0.7946,0.119955
247,-0.7945,0.119955
248,-0.7944,0.123267
249,-0.7943,0.121611
250,-0.7942,0.123267
251,-0.7941,0.123267
252,-0.794,0.121611
253,-0.7939,0.121611
254,-0.7938,0.121611
255,-0.7937,0.119955
256,-0.7936,0.119955
257,-0.7935,0.119955
258,-0.7934,0.118299
259,-0.7933,0.118299
260,-0.7932,0.118299
261,-0.7931,0.118299
262,-0.793,0.118299
263,-0.7929,0.118299
264,-0.7928,0.116643
265,-0.7927,0.116643
266,-0.7926,0.116643
267,-0.7925,0.116643
268,-0.7924,0.116643
269,-0.7923,0.116643
270,-0.7922,0.116643
271,-0.7921,0.114987
272,-0.792,0.114987
273,-0.7919,0.113331
274,-0.7918,0.113331
275,-0.7917,0.113331
276,-0.7916,0.111675
277,-0.7915,0.111675
278,-0.7914,0.111675
279,-0.7913,0.111675
280,-0.7912,0.111675
281,-0.7911,0.110019
282,-0.791,0.110019
283,-0.7909,0.110019
284,-0.7908,0.110019
285,-0.7907,0.110019
286,-0.7906,0.110019
287,-0.7905,0.110019
288,-0.7904,0.110019
289,-0.7903,0.110019
290,-0.7902,0.110019
291,-0.7901,0.110019
292,-0.79,0.110019
293,-0.7899,0.110019
294,-0.7898,0.110019
295,-0.7897,0.110019
296,-0.7896,0.110019
297,-0.7895,0.110019
298,-0.7894,0.110019
299,-0.7893,0.110019
300,-0.7892,0.110019
301,-0.7891,0.110019
302,-0.789,0.110019
303,-0.7889,0.110019
304,-0.7888,0.110019
305,-0.7887,0.110019
306,-0.7886,0.110019
307,-0.7885,0.110019
308,-0.7884,0.110019
309,-0.7883,0.110019
310,-0.7882,0.110019
311,-0.7881,0.110019
312,-0.788,0.110019
313,-0.7879,0.110019
314,-0.7878,0.110019
315,-0.7877,0.110019
316,-0.7876,0.110019
317,-0.7875,0.110019
318,-0.7874,0.110019
319,-0.7873,0.110019
320,-0.7872,0.110019
321,-0.7871,0.110019
322,-0.787,0.110019
323,-0.7869,0.110019
324,-0.7868,0.110019
325,-0.7867,0.110019
326,-0.7866,0.110019
327,-0.7865,0.110019
328,-0.7864,0.110019
